x,y,beta,gama,rx,ry
0,0,0.130987,0.194791,0.0341538,0.0452707
0,1,0.154828,0.223067,0.0362599,0.0549918
0,2,0.175664,0.249338,0.0368983,0.0570212
0,3,0.199085,0.273285,0.0385667,0.0603195
0,4,0.218835,0.288194,0.0463946,0.0699853
0,5,0.238678,0.30266,0.0444973,0.0769556
0,6,0.246414,0.315043,0.0510689,0.0812126
0,7,0.257501,0.31898,0.0536595,0.091745
0,8,0.263232,0.316807,0.0516896,0.1007
0,9,0.263704,0.303586,0.0469844,0.105301
0,10,0.263299,0.28727,0.0480593,0.105573
0,11,0.249426,0.265799,0.042283,0.106663
0,12,0.244027,0.241153,0.0380635,0.105286
0,13,0.224894,0.208112,0.0364826,0.0987195
0,14,0.218046,0.187246,0.0347796,0.0957621
0,15,0.206253,0.158029,0.0346812,0.0935793
0,16,0.192418,0.136353,0.0338478,0.0965059
0,17,0.190651,0.122031,0.0358934,0.0974868
0,18,0.184941,0.10476,0.0357303,0.0985641
0,19,0.182861,0.0872645,0.03109,0.0972897
0,20,0.18088,0.0774411,0.0386688,0.098726
0,21,0.187379,0.0690399,0.0353779,0.103213
0,22,0.187828,0.0661574,0.0379141,0.10318
0,23,0.197206,0.0561128,0.035541,0.108267
0,24,0.191944,0.0555174,0.0411892,0.109511
0,25,0.190902,0.0509741,0.0412285,0.11774
0,26,0.183408,0.047315,0.0389504,0.115474
0,27,0.180939,0.0466416,0.0397327,0.117933
0,28,0.175011,0.0459046,0.0387528,0.117878
0,29,0.164941,0.0416781,0.0369552,0.118057
0,30,0.153875,0.0439178,0.0301841,0.12737
0,31,0.139667,0.0451357,0.0285681,0.131577
0,32,0.132182,0.0523645,0.0328445,0.13401
0,33,0.118736,0.0540258,0.0272677,0.139229
0,34,0.106313,0.0554881,0.0306297,0.139282
0,35,0.0949671,0.0519378,0.0243716,0.126606
1,0,0.195657,0.28851,0.0436418,0.0645909
1,1,0.229977,0.335425,0.0477492,0.0729511
1,2,0.267282,0.37382,0.051093,0.0815147
1,3,0.297716,0.403485,0.0637976,0.0909526
1,4,0.328082,0.435513,0.0668094,0.0964967
1,5,0.349218,0.45471,0.0693,0.107019
1,6,0.369158,0.461641,0.0678551,0.119611
1,7,0.378157,0.461406,0.0684635,0.128088
