x,y,beta,gama,rx,ry
0,0,2.45424,2.77567,0.427323,0.36603
0,1,2.42054,2.7289,0.422287,0.373042
0,2,2.39092,2.66305,0.41645,0.383846
0,3,2.3763,2.58457,0.410873,0.397823
0,4,2.35853,2.51184,0.405236,0.410534
0,5,2.35378,2.44308,0.400978,0.423246
0,6,2.34343,2.38123,0.397132,0.434583
0,7,2.28708,2.34926,0.387797,0.435962
0,8,2.23167,2.29694,0.377463,0.440916
0,9,2.15069,2.22366,0.362632,0.445658
0,10,2.04275,2.09742,0.340962,0.456897
0,11,1.92419,1.93844,0.316269,0.472289
0,12,1.80317,1.75632,0.290194,0.490381
0,13,1.67587,1.54964,0.262506,0.510972
0,14,1.56749,1.37187,0.239081,0.527242
0,15,1.47535,1.22316,0.218933,0.539571
0,16,1.39533,1.10938,0.202037,0.545913
0,17,1.33389,1.03102,0.188765,0.547977
0,18,1.28132,0.970532,0.178588,0.54667
0,19,1.22232,0.916266,0.167357,0.541383
0,20,1.15448,0.863997,0.15639,0.530728
0,21,1.06462,0.806088,0.140949,0.514336
0,22,0.97396,0.760619,0.124936,0.494779
0,23,0.888192,0.724079,0.110918,0.47418
0,24,0.818794,0.709487,0.100004,0.454131
0,25,0.76717,0.66907,0.0942304,0.444523
0,26,0.711114,0.641791,0.08793,0.430656
0,27,0.656856,0.62806,0.083796,0.414271
0,28,0.604489,0.63084,0.0801681,0.395084
0,29,0.575218,0.571182,0.0770324,0.396137
0,30,0.536142,0.497956,0.0726324,0.396188
0,31,0.486587,0.428539,0.0675315,0.391564
0,32,0.431642,0.369697,0.063159,0.382764
0,33,0.379221,0.318354,0.0594098,0.373225
0,34,0.335407,0.268914,0.057151,0.366522
0,35,0.287972,0.214211,0.0550147,0.359419
1,0,2.40055,2.75806,0.423245,0.366622
1,1,2.38376,2.71997,0.419528,0.372752
1,2,2.35869,2.66062,0.413978,0.382424
1,3,2.34008,2.58899,0.408062,0.394721
1,4,2.3269,2.51708,0.402452,0.407418
1,5,2.31613,2.44982,0.397184,0.419351
1,6,2.29914,2.39578,0.39187,0.428368
1,7,2.2606,2.34895,0.384395,0.433903
1,8,2.20855,2.29197,0.374224,0.439899
1,9,2.13438,2.20909,0.359982,0.447441
1,10,2.03203,2.07669,0.339119,0.460661
1,11,1.91822,1.91157,0.314986,0.478082
1,12,1.80118,1.72785,0.289934,0.49726
1,13,1.68011,1.52336,0.263508,0.518879
1,14,1.57766,1.35097,0.24122,0.535539
1,15,1.49165,1.21057,0.222601,0.547544
1,16,1.4157,1.10239,0.206852,0.553507
1,17,1.35623,1.02623,0.19435,0.555512
1,18,1.30332,0.965979,0.184253,0.554115
1,19,1.24736,0.912084,0.173603,0.549838
1,20,1.18459,0.861547,0.163281,0.540754
1,21,1.09961,0.804031,0.148732,0.525943
