x,y,beta,gama,rx,ry
0,0,0.0021,0.0037,0.0098,0.0037
0,1,0.0029,0.0029,0.0074,0.0076
0,2,0.0014,0.0034,0.0035,0.0032
0,3,0.0042,0.0054,0.0011,0.0004
0,4,0.0045,0.0013,0.0067,0.0048
0,5,0.008,0.0023,0.0013,0.0052
0,6,0.0005,0.0073,0.0074,0.0011
0,7,0.0021,0.0087,0.0098,0.004
0,8,0.0023,0.0095,0.0075,0.005
0,9,0.0026,0.0048,0.0028,0.0038
0,10,0.0082,0.0061,0.007,0.0023
0,11,0.0016,0.0081,0.0028,0.0059
0,12,0.0092,0.0093,0.0009,0.0071
0,13,0.0017,0.002,0.0024,0.0023
0,14,0.0093,0.0096,0.0032,0.0014
0,15,0.0083,0.0029,0.0052,0.0005
0,16,0.0023,0.0029,0.0056,0.0049
0,17,0.0075,0.0082,0.0087,0.0059
0,18,0.0044,0.0056,0.0082,0.0061
0,19,0.0036,0.0009,0.0019,0.0028
0,20,0.0003,0.0026,0.0097,0.0019
0,21,0.0047,0.0023,0.004,0.0039
0,22,0.0018,0.007,0.0053,0.0002
0,23,0.0097,0.0007,0.0008,0.0021
0,24,0.0034,0.0062,0.0069,0.001
0,25,0.0045,0.0055,0.0069,0.0089
0,26,0.0011,0.0051,0.0049,0.0047
0,27,0.006,0.0067,0.0073,0.0062
0,28,0.0093,0.0072,0.0081,0.0041
0,29,0.0093,0.002,0.0081,0.0012
0,30,0.0088,0.0035,0.0013,0.0086
0,31,0.004,0.0019,0.0008,0.0074
0,32,0.0081,0.0075,0.0085,0.0025
0,33,0.0032,0.0053,0.0015,0.0043
0,34,0.0005,0.0063,0.0088,0.0066
0,35,0.0031,0.0061,0.0027,0.0023
1,0,0.0032,0.0007,0.0065,0.0026
1,1,0.0027,0.0047,0.0036,0.0016
1,2,0.008,0.0047,0.0001,0.0022
1,3,0.0066,0.0007,0.0094,0.0046
1,4,0.0083,0.008,0.0071,0.0014
1,5,0.0033,0.0085,0.0055,0.0038
1,6,0.0047,0.0044,0.0003,0.0076
1,7,0.0004,0.003,0,0.0036
1,8,0.0035,0.0065,0.0062,0.0062
1,9,0.0011,0.0097,0.0076,0.0092
1,10,0.0045,0.0075,0.0013,0.0013
1,11,0.0083,0.0008,0.0057,0.0067
1,12,0.0087,0.003,0.0079,0.0019
1,13,0.0016,0.0035,0.0057,0.0061
1,14,0.0077,0.0059,0.0038,0.0082
1,15,0.0087,0.0038,0.0019,0.0024
1,16,0.0003,0.008,0.0084,0.0014
1,17,0.0078,0.006,0.0005,0.0024
1,18,0.0036,0.0018,0.0035,0.002
1,19,0.0025,0.0093,0.0085,0.0011
1,20,0.0022,0.0065,0.003,0.0036
1,21,0.0098,0.0085,0.0097,0.0077
1,22,0.0045,0.0036,0.006,0.0034
1,23,0.0072,0.0077,0.0058,0.0073
1,24,0.0058,0.0041,0.0086,0.0037
1,25,0.0002,0.0091,0.006,0.0039
1,26,0.0009,0.0095,0.0059,0.0034
1,27,0.0087,0.0044,0.0043,0.001
1,28,0.0008,0.0073,0.0046,0.0008
1,29,0.0059,0.0042,0.0085,0.0006
1,30,0.0076,0.0044,0.0038,0.005
1,31,0.0022,0.0094,0.0022,0.0081
1,32,0.0036,0.0009,0.0017,0.0039
1,33,0.0002,0.0077,0.0078,0.0011
1,34,0.0072,0.0036,0.0043,0.006
1,35,0.0078,0.0084,0.0069,0.0087
2,0,0.0058,0.0014,0.0093,0.0016
2,1,0.0057,0.0077,0.0022,0.0034
2,2,0.0022,0.0058,0.0082,0.0044
2,3,0.0053,0.0004,0.0024,0.0088
2,4,0.0013,0.0042,0.0028,0.0015
2,5,0.002,0.0005,0.0024,0.009
2,6,0.0039,0.0065,0.0052,0.0019
2,7,0.005,0.002,0.0005,0.0007
2,8,0.0034,0.0096,0.0024,0.0091
2,9,0.0074,0.0044,0.0025,0.0096
2,10,0.0004,0.0006,0.0039,0.0055
2,11,0.001,0.0064,0.0044,0.0024
2,12,0.0007,0.0072,0.0037,0.0025
2,13,0.0075,0.006,0.0015,0.0014
2,14,0.0024,0.0067,0.0031,0.0073
2,15,0.0087,0.0036,0.008,0.002
2,16,0.0033,0.0003,0.0011,0.0006
2,17,0.0048,0.0036,0.0003,0.0052
2,18,0.004,0.0042,0.0006,0.0049
2,19,0.0005,0.0051,0.0071,0.001
2,20,0.0022,0.0007,0.0034,0.0098
2,21,0.0067,0.0049,0.0013,0.009
2,22,0.0015,0.0044,0.0064,0.0003
2,23,0.0078,0.0043,0.0023,0.001
2,24,0.0047,0.0032,0.0016,0.0095
2,25,0.0068,0.0017,0.0046,0.0008
2,26,0.0057,0.0052,0.0057,0.0063
2,27,0.0004,0.0027,0.0071,0.0027
2,28,0.0034,0.0006,0.0024,0.0001
2,29,0.0055,0.0035,0.0091,0.007
2,30,0.0079,0.0056,0.0071,0.0056
2,31,0,0.0093,0.0064,0.0047
2,32,0.0026,0.008,0.0041,0.0093
2,33,0.0095,0.0087,0,0.0053
2,34,0.0041,0.0055,0.0015,0.0043
2,35,0.0082,0.0087,0.007,0.0017
3,0,0.0093,0.0092,0.0018,0.0048
3,1,0.0028,0.001,0.0017,0.0006
3,2,0.0064,0.0087,0.0062,0.0063
3,3,0.0079,0.0027,0.0009,0.0004
3,4,0.0006,0.0051,0.0095,0.0002
3,5,0.0039,0.0095,0.0054,0.0078
3,6,0.0049,0.0069,0.0023,0.0032
3,7,0.0057,0.0091,0.0048,0.005
3,8,0.0085,0.0064,0.0096,0.0014
3,9,0.0073,0.0014,0.0019,0.0038
3,10,0,0.0079,0.0002,0.0077
3,11,0.0006,0.001,0.0082,0.0012
3,12,0.0061,0.0078,0.0013,0.0098
3,13,0.0073,0.0067,0.0078,0.0023
3,14,0.0035,0.0002,0.0054,0.0093
3,15,0.0091,0.0003,0.0042,0.0077
3,16,0.0067,0.0039,0.009,0.0041
3,17,0.0051,0.0008,0.0078,0.0052
3,18,0.0087,0.0078,0.0028,0.0093
3,19,0.0088,0.0011,0.0005,0.005
3,20,0.0088,0.0016,0.0048,0.0062
3,21,0.0081,0.0027,0.0083,0.0017
3,22,0.0027,0.0038,0.0009,0.0019
3,23,0.0039,0.0051,0.0095,0.0008
3,24,0.009,0.0084,0.0047,0.0041
3,25,0.0092,0.0026,0.0091,0.008
3,26,0.0004,0.002,0.0073,0.0092
3,27,0.0032,0.0076,0.0042,0.0021
3,28,0.0092,0.009,0.0081,0.0074
3,29,0.0016,0.0063,0.0089,0.0043
3,30,0.0003,0,0.006,0.0042
3,31,0.0051,0.0056,0.0048,0.0041
3,32,0.0041,0.0096,0.0082,0.0034
3,33,0.0021,0.0074,0.0014,0.0025
3,34,0.0094,0.0087,0.0017,0.0025
3,35,0.0064,0.0059,0.0044,0.0055
4,0,0.0048,0.0024,0.003,0.0064
4,1,0.0088,0.0018,0.0006,0.0089
4,2,0.0018,0.0066,0.0032,0.0068
4,3,0.0024,0.0079,0.001,0.0063
4,4,0.0076,0.009,0.0096,0.0095
4,5,0.0063,0.0011,0.002,0.0056
