x,y,beta,gama,rx,ry
0,0,2.48669,2.79994,0.432028,0.363651
0,1,2.47673,2.72651,0.427488,0.377036
0,2,2.4745,2.64117,0.423234,0.39317
0,3,2.469,2.54979,0.419599,0.410625
0,4,2.47121,2.46596,0.417288,0.427102
0,5,2.45849,2.39518,0.4147,0.440524
0,6,2.44852,2.32738,0.41355,0.453604
0,7,2.44436,2.25927,0.413942,0.467109
0,8,2.43775,2.1911,0.414624,0.480407
0,9,2.41438,2.12015,0.413335,0.493277
0,10,2.39555,2.03729,0.413617,0.508708
0,11,2.38374,1.95365,0.41587,0.52439
0,12,2.32064,1.86731,0.406219,0.536751
0,13,2.25643,1.76184,0.397459,0.552476
0,14,2.19345,1.66289,0.388835,0.566292
0,15,2.09271,1.58553,0.365008,0.566641
0,16,1.93645,1.46095,0.328798,0.567433
0,17,1.75469,1.31452,0.287246,0.567569
0,18,1.58191,1.17528,0.248132,0.563385
0,19,1.43098,1.05892,0.21399,0.557154
0,20,1.31307,0.974199,0.188367,0.547652
0,21,1.20526,0.908754,0.167503,0.531462
0,22,1.09669,0.853445,0.146908,0.51159
0,23,0.996331,0.809837,0.129062,0.490008
0,24,0.908117,0.772308,0.11517,0.469617
0,25,0.828233,0.731968,0.1036,0.451418
0,26,0.757733,0.696808,0.0942468,0.434859
0,27,0.698864,0.645182,0.0877207,0.425054
0,28,0.637236,0.608176,0.0821626,0.410843
0,29,0.577433,0.578613,0.0779423,0.395428
0,30,0.537137,0.507383,0.0739169,0.394752
0,31,0.477697,0.44139,0.0693148,0.385928
0,32,0.413065,0.392227,0.0657691,0.371819
0,33,0.368728,0.329023,0.0620924,0.367656
0,34,0.314947,0.28184,0.0598105,0.356733
0,35,0.269185,0.232442,0.0575044,0.349114
1,0,2.45264,2.76963,0.42823,0.367758
1,1,2.45319,2.71049,0.425119,0.37894
1,2,2.44986,2.62714,0.420858,0.394654
1,3,2.44582,2.53726,0.416734,0.411779
1,4,2.44132,2.45853,0.413253,0.426871
1,5,2.43215,2.39044,0.410839,0.439867
1,6,2.4235,2.32571,0.409529,0.452373
1,7,2.41636,2.26043,0.409131,0.46513
1,8,2.4064,2.19394,0.408894,0.477887
1,9,2.39098,2.12493,0.408369,0.490828
1,10,2.37309,2.0464,0.408303,0.505293
1,11,2.34626,1.96027,0.406746,0.520347
1,12,2.29569,1.86703,0.400041,0.534841
1,13,2.23394,1.76736,0.39071,0.54952
1,14,2.16423,1.67283,0.378786,0.560026
1,15,2.06065,1.57113,0.356616,0.565664
1,16,1.90835,1.4386,0.322253,0.56882
1,17,1.73456,1.29066,0.282971,0.570483
1,18,1.57292,1.1556,0.246492,0.56771
1,19,1.4339,1.04488,0.215272,0.5622
1,20,1.32559,0.964796,0.191827,0.553818
1,21,1.22675,0.901264,0.17174,0.540813
1,22,1.12959,0.847965,0.152771,0.524131
1,23,1.03597,0.799704,0.136414,0.505319
1,24,0.947073,0.757056,0.121991,0.485766
1,25,0.86381,0.714669,0.109499,0.466939
1,26,0.789245,0.671198,0.0988515,0.450866
1,27,0.724789,0.624802,0.090593,0.438306
1,28,0.668041,0.583352,0.0839775,0.426934
1,29,0.617266,0.543608,0.0793445,0.416804
1,30,0.570306,0.489536,0.0758602,0.410492
1,31,0.515797,0.430175,0.0717989,0.402271
1,32,0.459323,0.375182,0.0683717,0.392319
1,33,0.409085,0.32028,0.0651405,0.384496
1,34,0.366937,0.273999,0.0626066,0.377844
1,35,0.34289,0.240723,0.0609452,0.375362
2,0,2.41123,2.7381,0.423914,0.371663
2,1,2.41519,2.68262,0.42096,0.382257
2,2,2.41419,2.60584,0.416936,0.396806
2,3,2.41161,2.52163,0.412766,0.412868
2,4,2.40726,2.44494,0.409128,0.427561
2,5,2.39957,2.38023,0.406267,0.439896
2,6,2.39161,2.32222,0.404523,0.451048
