x,y,beta,gama,rx,ry
0,0,2.40224,2.76841,0.425805,0.365835
0,1,2.40347,2.70796,0.42266,0.377261
0,2,2.41473,2.63176,0.419533,0.392205
0,3,2.42817,2.55324,0.417019,0.407886
0,4,2.4251,2.47365,0.414524,0.423315
0,5,2.42298,2.38324,0.413168,0.441162
0,6,2.41849,2.29194,0.412343,0.45922
0,7,2.41864,2.20512,0.413977,0.476613
0,8,2.42375,2.12054,0.416988,0.493798
0,9,2.40018,2.03621,0.416029,0.50953
0,10,2.37459,1.95469,0.41462,0.524394
0,11,2.33355,1.88987,0.408407,0.534722
0,12,2.29836,1.81835,0.404642,0.546098
0,13,2.24237,1.75146,0.393973,0.554014
0,14,2.14765,1.68927,0.371475,0.55367
0,15,2.00747,1.57728,0.339527,0.555319
0,16,1.83664,1.42927,0.301405,0.558519
0,17,1.66967,1.28249,0.264669,0.560073
0,18,1.51695,1.15076,0.231386,0.555858
0,19,1.3799,1.0394,0.201609,0.549196
0,20,1.26231,0.953162,0.17685,0.53832
0,21,1.15253,0.882521,0.155771,0.52221
0,22,1.05121,0.827884,0.135888,0.50452
0,23,0.963359,0.788303,0.120139,0.485712
0,24,0.899002,0.755914,0.110281,0.471589
0,25,0.837326,0.705324,0.102755,0.461089
0,26,0.766125,0.662685,0.0940876,0.445369
0,27,0.697416,0.629786,0.0861084,0.428034
0,28,0.632149,0.603591,0.0810642,0.410035
0,29,0.571857,0.587355,0.0758613,0.391672
0,30,0.541802,0.526047,0.0726146,0.392833
0,31,0.505855,0.461816,0.0680264,0.392336
0,32,0.474211,0.410363,0.0635978,0.390846
0,33,0.443181,0.361303,0.061629,0.388971
0,34,0.406565,0.306607,0.0603628,0.386105
0,35,0.356037,0.256589,0.0583678,0.377008
1,0,2.35853,2.75931,0.422828,0.365569
1,1,2.3668,2.71098,0.420533,0.374958
1,2,2.38027,2.63591,0.417206,0.389661
1,3,2.39118,2.55454,0.414078,0.405685
1,4,2.39499,2.47343,0.411421,0.421626
1,5,2.39459,2.38561,0.409705,0.438959
1,6,2.39328,2.29746,0.408881,0.456491
1,7,2.39131,2.211,0.409303,0.473657
1,8,2.38555,2.12544,0.409881,0.49042
1,9,2.36963,2.04512,0.409251,0.505657
1,10,2.34444,1.96804,0.406961,0.519433
1,11,2.31032,1.89702,0.402441,0.531081
1,12,2.26769,1.82692,0.395817,0.541135
1,13,2.20805,1.75323,0.384056,0.549305
1,14,2.11736,1.67496,0.364085,0.553199
1,15,1.98836,1.56338,0.335329,0.556693
1,16,1.83075,1.41982,0.300534,0.560458
1,17,1.66819,1.2718,0.265088,0.561788
1,18,1.52053,1.13991,0.232983,0.559822
1,19,1.39061,1.03085,0.204983,0.554183
1,20,1.27619,0.943883,0.181367,0.543762
1,21,1.16908,0.87174,0.160074,0.529653
1,22,1.07175,0.815265,0.141134,0.513474
1,23,0.98911,0.770176,0.126165,0.49765
1,24,0.923749,0.731615,0.11553,0.484726
1,25,0.860294,0.688721,0.106296,0.472472
1,26,0.793488,0.649609,0.0970744,0.457788
1,27,0.72865,0.617274,0.0901902,0.441603
1,28,0.666113,0.588944,0.0843309,0.425116
1,29,0.611212,0.557768,0.0793819,0.411653
1,30,0.568909,0.506636,0.0747945,0.406497
1,31,0.530707,0.447101,0.0696789,0.404362
1,32,0.498935,0.396036,0.0657783,0.402852
1,33,0.470234,0.345475,0.0635749,0.402287
1,34,0.441257,0.293803,0.061977,0.401772
1,35,0.41721,0.252877,0.0607907,0.400938
2,0,2.31244,2.77066,0.421187,0.361448
2,1,2.32747,2.70692,0.417479,0.373643
2,2,2.34007,2.63234,0.413616,0.388051
2,3,2.34943,2.55238,0.410053,0.403641
2,4,2.35543,2.47196,0.407229,0.419488
2,5,2.35819,2.38832,0.405146,0.436082
2,6,2.3588,2.30337,0.403737,0.453037
2,7,2.35498,2.21881,0.403042,0.469681
2,8,2.34559,2.1338,0.402078,0.486076
2,9,2.33115,2.0566,0.400664,0.500698
2,10,2.30803,1.98244,0.397992,0.513685
