x,y,beta,gama,rx,ry
0,0,2.44994,2.76187,0.427591,0.369175
0,1,2.45857,2.69629,0.42433,0.381776
0,2,2.46186,2.62147,0.421517,0.39628
0,3,2.46074,2.53305,0.419357,0.413557
0,4,2.46753,2.43576,0.418473,0.433147
0,5,2.47623,2.35193,0.418856,0.450375
0,6,2.47552,2.28209,0.419221,0.464468
0,7,2.47957,2.21299,0.421989,0.478669
0,8,2.47835,2.15024,0.424004,0.491382
0,9,2.44554,2.08926,0.420766,0.502088
0,10,2.41514,2.00977,0.419625,0.516568
0,11,2.38891,1.9241,0.41998,0.532462
0,12,2.35137,1.84261,0.41774,0.546265
0,13,2.3119,1.74534,0.416411,0.562571
0,14,2.27367,1.65774,0.414904,0.577037
0,15,2.22961,1.58443,0.410142,0.587352
0,16,2.18286,1.51843,0.403459,0.593814
0,17,2.06542,1.45501,0.372751,0.586525
0,18,1.87321,1.33037,0.325736,0.577494
0,19,1.65162,1.18114,0.273162,0.56609
0,20,1.44699,1.0476,0.226178,0.550986
0,21,1.26813,0.939746,0.186924,0.531291
0,22,1.11421,0.855737,0.154629,0.508888
0,23,0.9878,0.790902,0.129633,0.48701
0,24,0.895505,0.745965,0.112072,0.469337
0,25,0.832014,0.709713,0.100818,0.45723
0,26,0.778974,0.663669,0.0945009,0.44872
0,27,0.71597,0.623466,0.0866477,0.43533
0,28,0.655022,0.592612,0.0804717,0.420205
0,29,0.601627,0.55742,0.0779004,0.408358
0,30,0.54681,0.527583,0.0749852,0.394609
0,31,0.5111,0.452166,0.0710957,0.396402
0,32,0.469009,0.387087,0.0668493,0.393751
0,33,0.442526,0.323108,0.0635604,0.396491
0,34,0.405819,0.268237,0.0605288,0.393559
0,35,0.368792,0.217126,0.0582131,0.389662
1,0,2.42956,2.72881,0.423835,0.374188
1,1,2.43481,2.68203,0.421815,0.383275
1,2,2.43806,2.6109,0.419061,0.397056
1,3,2.4395,2.52565,0.416585,0.41373
1,4,2.444,2.43582,0.415306,0.431715
1,5,2.44996,2.35455,0.415325,0.44829
1,6,2.45292,2.28428,0.416048,0.462629
1,7,2.453,2.21847,0.417367,0.475974
1,8,2.44556,2.15541,0.417995,0.48839
1,9,2.42354,2.08876,0.416677,0.500736
1,10,2.39531,2.01104,0.415293,0.514922
1,11,2.36639,1.92878,0.414425,0.529804
1,12,2.33213,1.84459,0.41271,0.544378
1,13,2.29241,1.75,0.410542,0.559904
1,14,2.25218,1.66466,0.407719,0.57327
1,15,2.20682,1.59047,0.402091,0.582876
1,16,2.1425,1.52078,0.38967,0.587315
1,17,2.02235,1.43158,0.361085,0.585456
1,18,1.8346,1.29835,0.315925,0.579806
1,19,1.63116,1.15415,0.267547,0.571971
1,20,1.45435,1.03415,0.22644,0.560824
1,21,1.29644,0.93453,0.192097,0.543475
1,22,1.15104,0.850895,0.161487,0.522748
1,23,1.02752,0.782897,0.136663,0.502271
1,24,0.936597,0.734173,0.118954,0.485808
1,25,0.871929,0.694419,0.107376,0.474043
1,26,0.81192,0.654337,0.0996579,0.462036
1,27,0.746864,0.612271,0.0918205,0.448306
1,28,0.687535,0.574749,0.0856232,0.435239
1,29,0.633383,0.535204,0.0811242,0.424168
1,30,0.585927,0.489178,0.0774383,0.416342
1,31,0.54751,0.427562,0.0734713,0.414644
1,32,0.513495,0.365034,0.0691508,0.414612
1,33,0.485664,0.312638,0.0652857,0.414727
1,34,0.455017,0.260878,0.0633588,0.413594
1,35,0.42664,0.213193,0.0613112,0.412463
2,0,2.39661,2.71155,0.420102,0.375637
2,1,2.40304,2.66084,0.417976,0.385541
2,2,2.40662,2.59106,0.415051,0.39905
2,3,2.40944,2.51374,0.412406,0.414174
2,4,2.41252,2.43333,0.411028,0.43024
2,5,2.41624,2.35653,0.410434,0.445792
2,6,2.41776,2.2884,0.410432,0.459608
2,7,2.41565,2.22479,0.410824,0.472373
2,8,2.40701,2.15952,0.4109,0.485136
2,9,2.3891,2.08835,0.410019,0.498564
2,10,2.36503,2.01234,0.408623,0.512586
2,11,2.3368,1.93198,0.407271,0.526949
2,12,2.30332,1.84583,0.405292,0.541771
2,13,2.26333,1.75344,0.402043,0.55668
2,14,2.22049,1.66987,0.397609,0.56915
2,15,2.16696,1.59158,0.389269,0.577957
2,16,2.08739,1.50731,0.373162,0.582915
2,17,1.96041,1.39826,0.344359,0.583948
2,18,1.78441,1.2592,0.303181,0.581776
2,19,1.60617,1.12414,0.260926,0.577742
2,20,1.45741,1.0176,0.226304,0.570026
2,21,1.32039,0.924871,0.196824,0.555331
2,22,1.19088,0.84509,0.169076,0.538072
2,23,1.07511,0.776378,0.145476,0.519828
2,24,0.986531,0.726366,0.127399,0.504615
2,25,0.920593,0.683782,0.116612,0.492461
2,26,0.856983,0.641082,0.107684,0.480109
2,27,0.791723,0.595869,0.0992151,0.467192
2,28,0.733244,0.552218,0.0922659,0.455902
2,29,0.680847,0.50675,0.0869163,0.446821
2,30,0.63573,0.456394,0.0823796,0.440859
2,31,0.597184,0.400278,0.077765,0.438253
2,32,0.564094,0.345789,0.0731735,0.437187
2,33,0.538778,0.300856,0.0696761,0.436952
2,34,0.513261,0.25943,0.0681955,0.435777
2,35,0.490549,0.219773,0.0666829,0.435237
3,0,2.36305,2.68709,0.416068,0.378325
3,1,2.36747,2.63491,0.413362,0.388361
3,2,2.36939,2.56868,0.410072,0.401044
3,3,2.37205,2.49947,0.407342,0.414567
3,4,2.3756,2.42788,0.405865,0.428906
3,5,2.37934,2.35572,0.404818,0.443542
3,6,2.38029,2.29034,0.404046,0.456786
3,7,2.376,2.22784,0.403714,0.469176
3,8,2.3663,2.16133,0.403341,0.482074
3,9,2.35021,2.08773,0.402361,0.496028
3,10,2.32847,2.01114,0.400941,0.510163
3,11,2.30136,1.93114,0.399035,0.524443
3,12,2.26858,1.84353,0.396644,0.53945
3,13,2.22826,1.74895,0.392666,0.554751
3,14,2.18096,1.66434,0.386419,0.566366
3,15,2.11935,1.57736,0.375956,0.575931
3,16,2.03038,1.48029,0.357843,0.58214
3,17,1.90311,1.35832,0.330011,0.585099
3,18,1.74349,1.21911,0.293804,0.585417
3,19,1.58905,1.09254,0.258158,0.582978
3,20,1.45871,0.991679,0.22838,0.577287
3,21,1.34319,0.90773,0.202877,0.567651
3,22,1.23513,0.836177,0.179611,0.554555
3,23,1.13132,0.770769,0.158256,0.538955
3,24,1.04397,0.716829,0.140594,0.524692
3,25,0.976004,0.670865,0.127513,0.513625
3,26,0.915169,0.627366,0.119192,0.502341
3,27,0.850709,0.57849,0.110313,0.490723
3,28,0.792776,0.530131,0.102293,0.480967
3,29,0.742481,0.48112,0.0962492,0.473609
3,30,0.697048,0.430622,0.0906724,0.467838
3,31,0.656954,0.380132,0.0849125,0.463864
3,32,0.622203,0.331102,0.0805318,0.461324
3,33,0.598581,0.291136,0.0765152,0.46105
3,34,0.578915,0.256577,0.075862,0.460751
