x,y,beta,gama,rx,ry
0,0,2.43698,2.74587,0.425376,0.371423
0,1,2.42913,2.66896,0.42064,0.385542
0,2,2.42696,2.5856,0.416144,0.401247
0,3,2.4247,2.50908,0.412585,0.415846
0,4,2.43202,2.44128,0.412029,0.429626
0,5,2.43632,2.37739,0.411533,0.442605
0,6,2.4301,2.31003,0.411131,0.455807
0,7,2.42564,2.23956,0.411346,0.469767
0,8,2.40255,2.16629,0.408915,0.483259
0,9,2.38749,2.09332,0.40823,0.497189
0,10,2.37403,2.02749,0.408138,0.509615
0,11,2.32925,1.97264,0.400348,0.516922
0,12,2.28267,1.90434,0.392602,0.526362
0,13,2.20145,1.82444,0.375882,0.532973
0,14,2.07206,1.71276,0.347613,0.536297
0,15,1.90147,1.54795,0.311052,0.542564
0,16,1.72162,1.36869,0.272702,0.548627
0,17,1.56023,1.21236,0.238493,0.550948
0,18,1.43367,1.09488,0.21148,0.550207
0,19,1.33099,1.00666,0.190263,0.54527
0,20,1.23806,0.936287,0.172248,0.536015
0,21,1.14514,0.877061,0.155468,0.52183
0,22,1.04618,0.82632,0.138683,0.502413
0,23,0.944411,0.781363,0.122182,0.479774
0,24,0.860115,0.749378,0.109511,0.458874
0,25,0.784583,0.707996,0.100113,0.44198
0,26,0.715101,0.673834,0.0918895,0.425218
0,27,0.652923,0.640473,0.0862672,0.410412
0,28,0.598173,0.607075,0.0818526,0.397744
0,29,0.544571,0.58177,0.0787447,0.3837
0,30,0.532808,0.518194,0.0751592,0.3917
0,31,0.495475,0.451431,0.0707193,0.390944
0,32,0.444631,0.394893,0.0663725,0.383158
0,33,0.398256,0.333482,0.0626187,0.377773
0,34,0.342073,0.279617,0.0594886,0.367183
0,35,0.290259,0.228335,0.0565302,0.357616
1,0,2.40338,2.71069,0.421094,0.376329
1,1,2.40316,2.64776,0.417344,0.388138
1,2,2.40034,2.57215,0.413039,0.402319
1,3,2.40016,2.50273,0.40994,0.415659
1,4,2.40281,2.43949,0.408311,0.428196
1,5,2.40416,2.37857,0.407347,0.440363
1,6,2.40111,2.31524,0.406689,0.452866
1,7,2.39359,2.24632,0.405942,0.466274
1,8,2.3794,2.17327,0.404547,0.480144
1,9,2.36416,2.10171,0.403235,0.493661
1,10,2.34364,2.03738,0.401112,0.504917
1,11,2.30465,1.97211,0.394735,0.514476
1,12,2.24661,1.89761,0.383972,0.523376
1,13,2.1612,1.80375,0.366494,0.531886
1,14,2.03897,1.68284,0.340729,0.539164
1,15,1.88277,1.52367,0.307595,0.546858
1,16,1.71575,1.35138,0.272138,0.553871
1,17,1.56781,1.20388,0.24083,0.557048
1,18,1.45062,1.09162,0.215897,0.556802
1,19,1.35263,1.00381,0.195564,0.552922
1,20,1.26185,0.932075,0.177795,0.544497
1,21,1.173,0.870005,0.161209,0.532503
1,22,1.07964,0.816264,0.145401,0.51544
1,23,0.980765,0.76476,0.129323,0.49514
1,24,0.897049,0.725793,0.11646,0.475954
1,25,0.818695,0.68595,0.1054,0.458072
1,26,0.747702,0.647983,0.0958153,0.441751
1,27,0.691004,0.613501,0.0880008,0.429319
1,28,0.640413,0.579729,0.0836284,0.418297
1,29,0.600611,0.545764,0.0795273,0.410957
1,30,0.571112,0.497183,0.0765338,0.409831
1,31,0.534517,0.439295,0.0724486,0.407757
1,32,0.489196,0.385342,0.0682375,0.401562
1,33,0.44095,0.335854,0.064185,0.393261
1,34,0.392316,0.287227,0.0622116,0.384542
1,35,0.354948,0.248951,0.0604899,0.378
2,0,2.36744,2.67677,0.416615,0.380741
2,1,2.36656,2.62043,0.41284,0.39124
2,2,2.36465,2.55529,0.408688,0.403415
2,3,2.36536,2.49524,0.40566,0.414954
2,4,2.36753,2.43886,0.403741,0.426075
2,5,2.36855,2.38141,0.402287,0.43749
2,6,2.36529,2.32041,0.401151,0.449437
2,7,2.35778,2.2543,0.399779,0.462172
2,8,2.3463,2.184,0.398291,0.475455
2,9,2.32978,2.11295,0.396228,0.488412
2,10,2.30449,2.04398,0.392522,0.499997
2,11,2.26253,1.96961,0.385261,0.510649
2,12,2.19736,1.8812,0.372862,0.521036
2,13,2.10556,1.76847,0.354253,0.532444
2,14,1.9917,1.64228,0.330943,0.542913
2,15,1.85332,1.49,0.301969,0.551444
2,16,1.70341,1.32697,0.270464,0.559533
2,17,1.57255,1.19122,0.242812,0.564072
2,18,1.46758,1.08444,0.221067,0.563953
2,19,1.37461,0.996361,0.202049,0.561004
2,20,1.28867,0.922848,0.185256,0.554422
2,21,1.2037,0.858096,0.169376,0.544238
2,22,1.11707,0.799931,0.153869,0.530814
