x,y,beta,gama,rx,ry
0,0,0.17502,0.304997,0.0421123,0.163247
0,1,0.17923,0.32031,0.0425646,0.170941
0,2,0.182399,0.31463,0.0406056,0.168402
0,3,0.174717,0.301226,0.038209,0.156716
0,4,0.163686,0.275915,0.0350715,0.144833
0,5,0.154076,0.248407,0.0330081,0.129168
0,6,0.147934,0.227788,0.0279161,0.119643
0,7,0.140964,0.209855,0.0264206,0.117306
0,8,0.136608,0.19304,0.0258183,0.115822
0,9,0.135207,0.181587,0.0261069,0.116168
0,10,0.13174,0.179897,0.0256781,0.121857
0,11,0.136392,0.175047,0.0258704,0.123873
0,12,0.135498,0.172265,0.0294999,0.1363
0,13,0.140134,0.169657,0.0302577,0.14522
0,14,0.142121,0.168129,0.0302988,0.155962
0,15,0.142274,0.17367,0.0287615,0.166178
0,16,0.140838,0.171325,0.0338486,0.180417
0,17,0.141517,0.168408,0.0330204,0.189363
0,18,0.137206,0.164549,0.035073,0.1945
0,19,0.133807,0.153507,0.0351952,0.201718
0,20,0.125025,0.145926,0.0353396,0.20771
0,21,0.119088,0.13578,0.037856,0.217714
0,22,0.11405,0.12598,0.0377026,0.222574
0,23,0.107691,0.114836,0.0368977,0.223926
0,24,0.0992891,0.100793,0.0373358,0.223737
0,25,0.0917969,0.0903211,0.0367535,0.219443
0,26,0.0839177,0.0760179,0.0335402,0.206696
0,27,0.0742626,0.0665044,0.0330638,0.182257
0,28,0.0635722,0.0532027,0.0257837,0.149994
0,29,0.0552195,0.0414058,0.0245609,0.122927
0,30,0.0462756,0.0341623,0.0182814,0.0970203
0,31,0.0418363,0.0286587,0.0133841,0.0683253
0,32,0.0324349,0.0229272,0.013359,0.0508823
0,33,0.0247557,0.0131629,0.0137353,0.0379008
0,34,0.0177374,0.00859549,0.0108821,0.0306881
0,35,0.0168922,0.0120612,0.0110662,0.0236338
0,36,0.0162442,0.00623925,0.00732477,0.0142008
0,37,0.00900057,0.00744877,0.00857929,0.0161012
0,38,0.0134719,0.00513604,0.00617779,0.0149477
0,39,0.00378752,0.0102697,0.00967914,0.0118984
0,40,0.00889852,0.00670618,0.0088211,0.00481302
0,41,0.00899932,0.00850865,0.00383156,0.0119866
0,42,0.00937452,0.00144675,0.00513102,0.00513003
0,43,0.00858563,0.00389809,0.00905306,0.00662577
0,44,0.00659618,0.00460135,0.00661432,0.00896365
0,45,0.0096714,0.00393629,0.00498337,0.0083091
0,46,0.0073128,0.000194549,0.00605763,0.00742726
0,47,0.00939248,0.00505905,0.00424152,0.00579765
0,48,0.0012101,0.00273921,0.00672752,0.00820296
0,49,0.000646697,0.000325778,0.00761853,0.00853723
0,50,0.00140074,0.00261571,0.00171365,0.00879131
0,51,0.00626839,0.000710267,0.00420893,0.0019621
0,52,0.00514554,0.000706344,0.00980545,0.00414004
0,53,0.00453033,0.00480375,0.00190408,0.0013265
0,54,0.00502023,0.0080023,0.00820251,0.00401749
0,55,0.00311321,0.00250151,0.00930162,0.00391133
0,56,0.00500836,0.00620085,0.00210115,0.00540714
0,57,0.00630474,0.00950039,0.00390065,0.007504
0,58,0.00220227,0.00570017,0.00630031,0.00820183
0,59,0.00620116,0.000600094,1.72574e-07,0.00130095
0,60,0.00110049,0.00980003,0.00540007,0.00550035
0,61,0.00470008,0.0072,0.00680001,0.00950005
0,62,0.00510004,0.0051,0.00370001,0.00800003
0,63,0.0074,0.0029,0.0021,0.0024
0,64,0.0091,0.004,0.0078,0.0054
0,65,0.0036,0.0016,0.003,0.0056
0,66,0.0073,0.0093,0.0039,0.0035
0,67,0.0097,0.0039,0.0048,0.001
0,68,0.0038,0.0001,0.0063,0.0083
0,69,0.0073,0.003,0.008,0.0023
0,70,0.0082,0.0016,0.0005,0.0055
0,71,0.0045,0.0024,0.0079,0.0036
1,0,0.224829,0.401463,0.0524533,0.211531
1,1,0.234315,0.416257,0.0533516,0.219994
1,2,0.231909,0.411825,0.0528466,0.213063
1,3,0.225006,0.388392,0.0475963,0.200679
1,4,0.214223,0.361865,0.0449518,0.182151
1,5,0.202278,0.329706,0.0400385,0.171833
1,6,0.194265,0.302335,0.0379217,0.161263
1,7,0.187731,0.279251,0.0341849,0.151531
1,8,0.184876,0.260262,0.0319277,0.15186
1,9,0.179604,0.249389,0.0304071,0.152988
1,10,0.180371,0.239947,0.0327111,0.160656
1,11,0.178306,0.232022,0.0331896,0.165876
1,12,0.181134,0.224126,0.0332,0.176768
1,13,0.181691,0.224364,0.0347894,0.189277
1,14,0.185556,0.22054,0.0368542,0.201366
1,15,0.18369,0.223794,0.038511,0.213719
1,16,0.18237,0.222197,0.0401949,0.226906
1,17,0.180671,0.216944,0.0414417,0.235199
1,18,0.174635,0.205413,0.042691,0.2425
1,19,0.166728,0.192876,0.0410887,0.247002
1,20,0.156085,0.179615,0.0420321,0.254728
1,21,0.146127,0.166744,0.0443283,0.25987
1,22,0.138465,0.151714,0.0445998,0.265223
1,23,0.129611,0.136219,0.0450096,0.266893
1,24,0.120283,0.120975,0.0441882,0.267444
1,25,0.109906,0.10433,0.043651,0.263633
