x,y,beta,gama,rx,ry
0,0,0.0093,0.0011,0.009,0.0081
0,1,0.0009,0.0057,0.0068,0.0086
0,2,0.0085,0.0023,0.0041,0.0095
0,3,0.0059,0.0098,0.0041,0.0063
0,4,0.003,0.0059,0.004,0.0077
0,5,0.0035,0.0008,0.0057,0.001
0,6,0.0073,0.0038,0.0017,0.0005
0,7,0.0063,0.0049,0.0026,0.0057
0,8,0.006,0.0015,0.0038,0.0067
0,9,0.0072,0.0005,0.0054,0.0057
0,10,0.0028,0.0093,0.0051,0.0086
0,11,0.009,0.0092,0.005,0.0021
0,12,0.0052,0.0088,0.0098,0.0087
0,13,0.0096,0.0055,0.0095,0.0068
0,14,0.0093,0.0013,0.0073,0.0055
0,15,0.006,0.0097,0.0013,0.002
0,16,0.0013,0.0049,0.0087,0.0084
0,17,0.0055,0.0043,0.0042,0.0081
0,18,0.0037,0.0093,0.0068,0.0029
0,19,0.0084,0.0017,0.0048,0.0037
0,20,0.0005,0.0046,0.0023,0
0,21,0.0002,0.0019,0.0069,0.0093
0,22,0.0033,0.0041,0.0047,0.0093
0,23,0.004,0.0058,0.0014,0.0053
0,24,0.0009,0.0003,0.0036,0.0062
0,25,0.0044,0.0078,0.0044,0.0079
0,26,0.007,0.0014,0.0007,0.0055
0,27,0.0029,0.0056,0.009,0.0034
0,28,0.0001,0.0014,0.0035,0.0001
0,29,0.0032,0.0003,0.0092,0.0065
0,30,0.0044,0.004,0.0057,0.0084
0,31,0.0098,0.007,0.0037,0.0006
0,32,0.0071,0.0073,0.0068,0.0014
0,33,0.0051,0.0014,0.0093,0.0022
0,34,0.0026,0.0002,0.0076,0.0053
0,35,0.0056,0.0065,0.0088,0.0055
0,36,0.0078,0.0022,0.0056,0.0011
0,37,0.0025,0.0047,0.0074,0.0069
0,38,0.0087,0.0032,0.0053,0.0084
0,39,0.0001,0.009,0.0091,0.0072
0,40,0.0062,0.0058,0.0084,0.0014
0,41,0.007,0.0079,0.0035,0.0096
0,42,0.0079,0.001,0.0049,0.0034
0,43,0.0075,0.0036,0.0089,0.0054
0,44,0.0058,0.0044,0.0065,0.0081
0,45,0.0091,0.0038,0.0049,0.0077
0,46,0.0069,0.0001,0.006,0.007
0,47,0.0091,0.005,0.0042,0.0055
0,48,0.001,0.0027,0.0067,0.008
0,49,0.0005,0.0003,0.0076,0.0084
0,50,0.0013,0.0026,0.0017,0.0087
0,51,0.0062,0.0007,0.0042,0.0019
0,52,0.0051,0.0007,0.0098,0.0041
0,53,0.0045,0.0048,0.0019,0.0013
0,54,0.005,0.008,0.0082,0.004
0,55,0.0031,0.0025,0.0093,0.0039
0,56,0.005,0.0062,0.0021,0.0054
0,57,0.0063,0.0095,0.0039,0.0075
0,58,0.0022,0.0057,0.0063,0.0082
0,59,0.0062,0.0006,0,0.0013
0,60,0.0011,0.0098,0.0054,0.0055
0,61,0.0047,0.0072,0.0068,0.0095
0,62,0.0051,0.0051,0.0037,0.008
0,63,0.0074,0.0029,0.0021,0.0024
0,64,0.0091,0.004,0.0078,0.0054
0,65,0.0036,0.0016,0.003,0.0056
0,66,0.0073,0.0093,0.0039,0.0035
0,67,0.0097,0.0039,0.0048,0.001
0,68,0.0038,0.0001,0.0063,0.0083
0,69,0.0073,0.003,0.008,0.0023
0,70,0.0082,0.0016,0.0005,0.0055
0,71,0.0045,0.0024,0.0079,0.0036
1,0,0.0064,0.0058,0.009,0.0098
1,1,0.0075,0.0019,0.0055,0.0047
1,2,0.0013,0.0092,0.008,0.0009
1,3,0.003,0.0029,0.0017,0.0066
1,4,0.0029,0.008,0.005,0.0003
1,5,0.0012,0.0029,0.0025,0.0092
1,6,0.0043,0.003,0.0048,0.0087
1,7,0.0052,0.0027,0.0024,0.0017
1,8,0.0083,0.0013,0.0014,0.0057
1,9,0.0032,0.0069,0.0004,0.0043
1,10,0.006,0.0084,0.0052,0.009
1,11,0.0013,0.007,0.0057,0.0042
1,12,0.0049,0.0006,0.0043,0.0061
1,13,0.0034,0.0068,0.0052,0.0077
1,14,0.0096,0,0.0065,0.0049
1,15,0.0027,0.0087,0.0064,0.0009
1,16,0.0001,0.0078,0.0067,0.0031
1,17,0.0046,0.0071,0.0072,0.0007
1,18,0.0056,0.0024,0.0097,0.0067
1,19,0.0094,0.0053,0.001,0.0042
1,20,0.006,0.0054,0.0005,0.0094
1,21,0.0023,0.0055,0.007,0.0021
1,22,0.0055,0.0037,0.0068,0.008
1,23,0.0025,0.0034,0.009,0.0025
1,24,0.0013,0.0056,0.0054,0.0058
1,25,0.0028,0.0028,0.0065,0.0082
1,26,0.0052,0.0062,0.0051,0.0045
1,27,0.0016,0.0061,0.0087,0.0074
1,28,0.0014,0.009,0.0069,0.0038
1,29,0.0047,0.0039,0.0057,0.0003
1,30,0.0076,0.0026,0.0084,0
1,31,0.006,0.0073,0.0023,0.0072
1,32,0.003,0.0078,0.0031,0.0056
1,33,0.0007,0.0094,0.0037,0.0057
1,34,0.0057,0.0088,0.0003,0.0074
1,35,0.0049,0.009,0.0049,0.0063
1,36,0.0082,0.0018,0,0.0028
1,37,0.0057,0.0057,0.0029,0.0032
1,38,0.0084,0.0014,0.0032,0.0043
1,39,0.0085,0.0056,0.0016,0.0016
1,40,0.0033,0.0045,0.007,0.004
1,41,0.0041,0.0009,0.0097,0.0098
1,42,0.0095,0.0098,0.0071,0.0043
1,43,0.0089,0.0022,0.0006,0.007
1,44,0.004,0.0006,0.0096,0.0095
1,45,0.0062,0.0027,0.0028,0.0047
1,46,0.0039,0.0058,0.0088,0.0026
1,47,0.0013,0.0006,0.004,0.0046
1,48,0.0049,0.0012,0.0084,0.0088
1,49,0.0019,0.0082,0.0088,0.0015
1,50,0.0079,0.006,0.0057,0.0068
1,51,0.008,0.0063,0.0039,0.0021
1,52,0.0069,0.0035,0.0015,0.0032
1,53,0.0062,0.0043,0.0077,0.0002
1,54,0.0001,0.0067,0.0026,0.0014
1,55,0.0071,0.0065,0.0061,0.0021
1,56,0.0075,0.0046,0.0011,0.0094
1,57,0.0028,0.0097,0.0008,0.0008
