x,y,beta,gama,rx,ry
0,0,0.24107,0.431987,0.0584036,0.251557
0,1,0.249771,0.44634,0.0584535,0.251543
0,2,0.25196,0.441126,0.0562633,0.241924
0,3,0.244873,0.423792,0.0529448,0.224952
0,4,0.23306,0.394528,0.0488001,0.207112
0,5,0.220952,0.360841,0.0452959,0.187645
0,6,0.211543,0.331572,0.0398429,0.174145
0,7,0.202666,0.305897,0.0372884,0.168488
0,8,0.197195,0.283488,0.0358678,0.16614
0,9,0.195474,0.267862,0.0355642,0.167531
0,10,0.193414,0.262138,0.0350813,0.174829
0,11,0.197966,0.255611,0.0353247,0.180414
0,12,0.198059,0.251037,0.0381583,0.193812
0,13,0.201398,0.246477,0.0389486,0.204619
0,14,0.202499,0.243222,0.0394271,0.217251
0,15,0.202434,0.245739,0.039227,0.230345
0,16,0.201269,0.244261,0.0432137,0.245844
0,17,0.200442,0.242274,0.0436504,0.2569
0,18,0.195485,0.236991,0.0452354,0.263558
0,19,0.188801,0.223568,0.0454103,0.268799
0,20,0.177567,0.208881,0.0455869,0.273106
0,21,0.16648,0.193106,0.0470621,0.280055
0,22,0.155715,0.178266,0.047516,0.284995
0,23,0.145067,0.162609,0.0476077,0.288004
0,24,0.134299,0.147254,0.0481738,0.290495
0,25,0.124098,0.133171,0.0483182,0.29073
0,26,0.112791,0.118075,0.0476249,0.286839
0,27,0.103753,0.100766,0.0462051,0.274194
0,28,0.0990794,0.0870643,0.0402715,0.244619
0,29,0.0909758,0.0718795,0.0360008,0.208563
0,30,0.0795303,0.0586369,0.0286029,0.169726
0,31,0.0698962,0.0473396,0.0218759,0.128235
0,32,0.0561233,0.0369574,0.0193589,0.0968705
0,33,0.0439122,0.0240085,0.0178955,0.0721047
0,34,0.0328782,0.0164518,0.0140071,0.0554391
0,35,0.0283923,0.0172978,0.0132402,0.0414796
0,36,0.0249619,0.0100636,0.00898918,0.0271621
0,37,0.0157824,0.0100575,0.00972334,0.02525
0,38,0.0185215,0.00697983,0.00703612,0.0214976
0,39,0.00773388,0.0114813,0.0102521,0.0166366
