x,y,beta,gama,rx,ry
0,0,2.36437,2.58333,0.408505,0.397312
0,1,2.30195,2.55712,0.403248,0.398243
0,2,2.21208,2.54397,0.396286,0.39424
0,3,2.10249,2.55288,0.389858,0.384798
0,4,1.96026,2.57927,0.385201,0.370565
0,5,1.84186,2.60844,0.383064,0.357303
0,6,1.73604,2.60666,0.378118,0.348696
0,7,1.59309,2.63598,0.376751,0.333729
0,8,1.5031,2.60184,0.369078,0.329271
0,9,1.40962,2.60878,0.369633,0.321246
0,10,1.33391,2.65351,0.377622,0.311809
0,11,1.3064,2.52988,0.352564,0.314005
0,12,1.28038,2.41454,0.329493,0.316776
0,13,1.24503,2.31923,0.310353,0.316757
0,14,1.19911,2.24498,0.295607,0.314342
0,15,1.17391,2.18207,0.283518,0.31483
0,16,1.14368,2.12224,0.272423,0.314351
0,17,1.10269,2.03137,0.255294,0.313925
1,0,2.3461,2.48457,0.402226,0.415363
1,1,2.2963,2.47562,0.397783,0.41346
1,2,2.21455,2.46295,0.3908,0.409453
1,3,2.1105,2.46852,0.383174,0.400239
1,4,1.97489,2.4943,0.376453,0.385275
1,5,1.86073,2.50891,0.370897,0.37314
1,6,1.7553,2.51459,0.366444,0.363363
1,7,1.61719,2.52416,0.360108,0.349926
1,8,1.52059,2.51162,0.354961,0.341796
1,9,1.43674,2.51722,0.354531,0.333424
1,10,1.37218,2.51636,0.352888,0.326246
1,11,1.32021,2.44091,0.336527,0.323163
1,12,1.28319,2.34079,0.31619,0.323661
1,13,1.24541,2.25378,0.298679,0.323019
1,14,1.2019,2.17885,0.283627,0.321089
1,15,1.16668,2.12255,0.272613,0.319114
1,16,1.12964,2.06375,0.261973,0.317525
1,17,1.0826,1.98256,0.246702,0.3152
2,0,2.33743,2.40572,0.398041,0.430329
2,1,2.28777,2.39856,0.393574,0.427919
2,2,2.21278,2.388,0.385797,0.423495
2,3,2.12055,2.39182,0.37751,0.414831
2,4,1.99141,2.41074,0.369796,0.400779
2,5,1.87574,2.41678,0.36129,0.388811
2,6,1.76936,2.4115,0.352755,0.379058
2,7,1.63567,2.40123,0.34168,0.367348
2,8,1.54451,2.38784,0.335519,0.358825
2,9,1.47154,2.38625,0.332923,0.350704
2,10,1.40653,2.37331,0.32814,0.343151
2,11,1.33641,2.31799,0.314709,0.335974
2,12,1.28913,2.24671,0.299379,0.332934
2,13,1.2461,2.1763,0.285126,0.330774
2,14,1.19943,2.1106,0.271173,0.327112
2,15,1.15744,2.05804,0.261565,0.324368
2,16,1.11318,1.99771,0.250728,0.321546
2,17,1.06451,1.9194,0.236307,0.318826
3,0,2.32512,2.3162,0.395124,0.447431
3,1,2.27548,2.30784,0.388904,0.444929
3,2,2.20565,2.29624,0.379864,0.440572
3,3,2.11981,2.29324,0.37067,0.433026
3,4,1.99671,2.29777,0.360047,0.420864
3,5,1.88181,2.2942,0.348668,0.409464
3,6,1.77527,2.28167,0.337262,0.399551
3,7,1.64561,2.26272,0.322387,0.387772
3,8,1.56503,2.24596,0.314285,0.379381
3,9,1.49992,2.24054,0.310618,0.371575
3,10,1.4357,2.22762,0.305129,0.363227
3,11,1.35485,2.18906,0.293998,0.352668
3,12,1.29747,2.13845,0.282181,0.346686
3,13,1.2486,2.08501,0.270628,0.341966
3,14,1.19358,2.0288,0.258455,0.336271
3,15,1.14083,1.97347,0.247695,0.331164
3,16,1.09014,1.91534,0.237186,0.326569
3,17,1.03305,1.84529,0.224149,0.32093
4,0,2.30983,2.22211,0.39174,0.46523
4,1,2.25922,2.2163,0.383576,0.461924
4,2,2.18899,2.20056,0.373864,0.457822
4,3,2.10551,2.18438,0.362513,0.452469
4,4,1.99128,2.17341,0.349434,0.442964
4,5,1.88243,2.15956,0.335889,0.432901
4,6,1.77825,2.14298,0.322354,0.422629
4,7,1.65088,2.1198,0.305069,0.410306
4,8,1.57282,2.10201,0.29552,0.401181
4,9,1.51418,2.0941,0.289894,0.393082
4,10,1.44874,2.08059,0.283341,0.38381
4,11,1.35621,2.03719,0.270858,0.37143
4,12,1.28894,1.99201,0.259643,0.363246
4,13,1.23209,1.94342,0.248896,0.356736
4,14,1.16752,1.88803,0.236743,0.349067
4,15,1.10576,1.83629,0.226388,0.341343
4,16,1.05196,1.78852,0.217513,0.33442
4,17,0.997714,1.73038,0.206404,0.327787
5,0,2.29085,2.13894,0.388362,0.480774
5,1,2.23763,2.12714,0.379772,0.477885
5,2,2.16096,2.10125,0.366924,0.474798
5,3,2.07574,2.0686,0.35262,0.471967
5,4,1.97296,2.04411,0.33775,0.465339
5,5,1.87537,2.02308,0.323403,0.456966
5,6,1.77601,2.00264,0.308535,0.446868
5,7,1.65153,1.97507,0.289118,0.434282
5,8,1.57744,1.95953,0.278107,0.424101
5,9,1.51708,1.94939,0.272011,0.415455
5,10,1.44912,1.93161,0.263317,0.405328
5,11,1.35026,1.88485,0.249798,0.391731
5,12,1.2757,1.83933,0.237975,0.381964
5,13,1.21072,1.79477,0.226991,0.372995
5,14,1.14114,1.74461,0.215144,0.363257
5,15,1.07454,1.69805,0.205655,0.353536
5,16,1.01771,1.6617,0.198352,0.343947
5,17,0.958025,1.62072,0.189974,0.3335
6,0,2.26207,2.05072,0.384987,0.496479
6,1,2.20727,2.03348,0.374749,0.494145
6,2,2.12452,2.00242,0.359057,0.491056
6,3,2.03865,1.96287,0.342381,0.489181
6,4,1.9481,1.92992,0.326547,0.484889
6,5,1.86365,1.90422,0.312689,0.478193
6,6,1.76954,1.87768,0.296926,0.469016
6,7,1.65213,1.84382,0.276666,0.457664
6,8,1.57806,1.83079,0.265946,0.446766
6,9,1.51535,1.81776,0.257594,0.436965
6,10,1.44275,1.79533,0.246714,0.425863
6,11,1.33714,1.74317,0.231439,0.410883
6,12,1.25711,1.69891,0.218841,0.39917
6,13,1.18752,1.66221,0.208017,0.387402
6,14,1.11192,1.61641,0.1966,0.375203
6,15,1.0406,1.57035,0.186943,0.363815
6,16,0.982118,1.53674,0.179863,0.352967
6,17,0.927348,1.50214,0.172596,0.342646
7,0,2.23991,1.94842,0.382844,0.515728
7,1,2.17475,1.9249,0.368898,0.513032
7,2,2.08506,1.88804,0.350242,0.509851
7,3,1.99869,1.8474,0.331743,0.50772
7,4,1.92085,1.8128,0.314778,0.504584
7,5,1.84788,1.77172,0.300783,0.501151
7,6,1.75757,1.7282,0.283201,0.494729
7,7,1.65042,1.68247,0.26163,0.486094
7,8,1.58068,1.65942,0.249747,0.476933
7,9,1.51307,1.62998,0.23866,0.467963
7,10,1.43181,1.59366,0.224615,0.456493
7,11,1.31851,1.5385,0.206713,0.439266
7,12,1.23596,1.50266,0.194255,0.424911
7,13,1.16161,1.4777,0.184466,0.409659
7,14,1.07813,1.44769,0.173955,0.392399
7,15,0.99795,1.41095,0.164463,0.376598
7,16,0.935557,1.3885,0.158032,0.362424
7,17,0.879967,1.36845,0.153325,0.349874
8,0,2.19753,1.84218,0.378996,0.533386
8,1,2.13285,1.81455,0.364312,0.531485
8,2,2.04646,1.78096,0.344954,0.527885
8,3,1.9667,1.74659,0.326681,0.524864
8,4,1.8941,1.71565,0.310272,0.520771
8,5,1.82216,1.67579,0.29475,0.517413
8,6,1.73637,1.62863,0.27691,0.511982
8,7,1.63855,1.57865,0.255906,0.505385
8,8,1.5654,1.54551,0.242461,0.496899
8,9,1.49423,1.50562,0.229282,0.488862
8,10,1.40989,1.46119,0.213495,0.477824
8,11,1.29893,1.41068,0.195633,0.459234
8,12,1.21525,1.37887,0.181908,0.443022
8,13,1.13827,1.35212,0.171502,0.426523
8,14,1.04782,1.31985,0.160061,0.406868
8,15,0.960413,1.28592,0.149839,0.387634
8,16,0.891088,1.2678,0.143276,0.369899
8,17,0.833369,1.2507,0.138452,0.355607
9,0,2.15481,1.70981,0.37818,0.556456
9,1,2.08698,1.68757,0.36143,0.552818
9,2,2.00637,1.66229,0.341703,0.548117
9,3,1.93472,1.63344,0.324076,0.544725
9,4,1.86504,1.60748,0.307293,0.539466
9,5,1.79554,1.57234,0.29127,0.535111
9,6,1.71591,1.52536,0.273495,0.5303
9,7,1.62251,1.47534,0.252146,0.523852
9,8,1.54972,1.42899,0.23675,0.51777
9,9,1.4768,1.38237,0.222033,0.510256
9,10,1.39361,1.33678,0.204534,0.499399
9,11,1.28707,1.289,0.187213,0.48045
9,12,1.19986,1.25829,0.17305,0.462256
9,13,1.11301,1.22899,0.160025,0.442846
9,14,1.015,1.19439,0.146844,0.420767
9,15,0.922552,1.16663,0.136522,0.398129
9,16,0.842475,1.15449,0.130052,0.375318
9,17,0.781123,1.14062,0.125184,0.358722
10,0,2.12025,1.59604,0.379241,0.576165
10,1,2.0559,1.57913,0.36203,0.571816
10,2,1.98129,1.56401,0.341804,0.565688
10,3,1.91541,1.543,0.323894,0.561697
10,4,1.84475,1.51547,0.306424,0.55563
10,5,1.77035,1.47559,0.288224,0.551403
10,6,1.69296,1.42463,0.270371,0.547414
10,7,1.59721,1.36649,0.248174,0.541337
10,8,1.52117,1.31455,0.231333,0.53539
10,9,1.45119,1.26786,0.216012,0.528516
10,10,1.37278,1.22743,0.199015,0.517309
10,11,1.27137,1.18723,0.181131,0.49764
10,12,1.18167,1.15598,0.166184,0.478196
10,13,1.09026,1.12649,0.152045,0.456945
10,14,0.991877,1.09531,0.137624,0.433512
10,15,0.899885,1.07737,0.128506,0.408266
10,16,0.811857,1.07146,0.121749,0.381209
10,17,0.728602,1.06887,0.116651,0.354916
11,0,2.08459,1.45135,0.384121,0.601366
11,1,2.01644,1.43227,0.365357,0.596953
11,2,1.94607,1.41378,0.34632,0.591304
11,3,1.88175,1.39456,0.328429,0.585979
11,4,1.80974,1.36037,0.310031,0.581202
11,5,1.73853,1.31839,0.292151,0.577636
11,6,1.66404,1.26679,0.273682,0.57444
11,7,1.57291,1.20125,0.252645,0.569861
11,8,1.49844,1.14919,0.235198,0.563763
11,9,1.43289,1.10899,0.219152,0.556589
11,10,1.35599,1.07623,0.202371,0.543268
11,11,1.248,1.03657,0.182535,0.52061
11,12,1.15681,1.00324,0.165377,0.500949
11,13,1.06163,0.974785,0.148528,0.478197
11,14,0.962985,0.952101,0.133968,0.452338
11,15,0.869194,0.940336,0.121068,0.425276
11,16,0.793934,0.935446,0.114768,0.401649
