x,y,beta,gama,rx,ry
0,0,2.39226,2.69771,0.417957,0.377137
0,1,2.31844,2.63062,0.408709,0.385136
0,2,2.229,2.59628,0.400421,0.385627
0,3,2.12914,2.58419,0.392672,0.380357
0,4,2.00662,2.58146,0.386341,0.371759
0,5,1.87903,2.57596,0.379218,0.361886
0,6,1.75234,2.58757,0.374433,0.349326
0,7,1.61259,2.58153,0.366622,0.338004
0,8,1.5176,2.58751,0.365237,0.329415
0,9,1.43415,2.61232,0.369062,0.321385
0,10,1.34437,2.64486,0.375338,0.313068
0,11,1.3353,2.56653,0.3591,0.31453
0,12,1.3145,2.48623,0.343153,0.315684
0,13,1.2786,2.39294,0.325017,0.316695
0,14,1.22664,2.29596,0.306173,0.315439
0,15,1.17831,2.20626,0.28898,0.314107
0,16,1.12559,2.13549,0.275595,0.310456
0,17,1.09062,2.02769,0.255266,0.312705
1,0,2.35534,2.58278,0.408919,0.396817
1,1,2.30344,2.54995,0.402362,0.399433
1,2,2.23006,2.51967,0.394314,0.399789
1,3,2.14016,2.50855,0.38661,0.3945
1,4,2.01948,2.50977,0.379747,0.384648
1,5,1.89161,2.51283,0.372385,0.372565
1,6,1.75684,2.51504,0.364618,0.359195
1,7,1.61266,2.51675,0.35626,0.345354
1,8,1.52257,2.51989,0.353731,0.336703
1,9,1.44617,2.52988,0.354193,0.329643
1,10,1.38268,2.5266,0.352578,0.324097
1,11,1.34646,2.47349,0.341768,0.323116
1,12,1.31801,2.39829,0.327125,0.324034
1,13,1.27377,2.3053,0.309139,0.324173
1,14,1.22066,2.21221,0.291073,0.322575
1,15,1.17131,2.12998,0.275451,0.320724
1,16,1.12247,2.05876,0.262151,0.318034
1,17,1.07447,1.96103,0.243688,0.316803
2,0,2.33804,2.45842,0.402491,0.419841
2,1,2.2885,2.44371,0.39569,0.41881
2,2,2.22645,2.42947,0.387513,0.416525
2,3,2.14517,2.4179,0.379763,0.411447
2,4,2.03117,2.41862,0.371591,0.401365
2,5,1.90908,2.42474,0.363857,0.388378
2,6,1.77098,2.42593,0.354351,0.373591
2,7,1.61974,2.4282,0.343496,0.357509
2,8,1.53128,2.42445,0.338205,0.348088
2,9,1.46427,2.42052,0.334936,0.341526
2,10,1.4049,2.40015,0.329538,0.336813
2,11,1.36009,2.34969,0.31925,0.335153
2,12,1.32003,2.28588,0.306926,0.334566
2,13,1.26977,2.20229,0.290852,0.33357
2,14,1.2145,2.11979,0.274769,0.330919
2,15,1.16269,2.04572,0.260449,0.327752
2,16,1.10988,1.97478,0.24754,0.324511
2,17,1.05328,1.88934,0.231591,0.320374
3,0,2.33942,2.35467,0.399153,0.440308
3,1,2.28339,2.34978,0.391539,0.436771
3,2,2.22088,2.34556,0.38324,0.432192
3,3,2.14537,2.33626,0.373708,0.426839
3,4,2.04237,2.33445,0.36484,0.417468
3,5,1.92331,2.33727,0.355875,0.404471
3,6,1.78447,2.33081,0.343881,0.389589
3,7,1.62886,2.32761,0.330042,0.372491
3,8,1.53818,2.31739,0.321777,0.361889
3,9,1.47058,2.29875,0.314867,0.355461
3,10,1.41094,2.27133,0.307251,0.350431
3,11,1.35716,2.21753,0.296178,0.347906
3,12,1.31304,2.15934,0.284623,0.346268
3,13,1.25978,2.08963,0.271032,0.343635
3,14,1.20253,2.02004,0.257228,0.339398
3,15,1.14663,1.94967,0.244117,0.335551
3,16,1.0917,1.88379,0.231892,0.331116
3,17,1.03625,1.8065,0.217917,0.326737
4,0,2.32366,2.2648,0.396399,0.456956
4,1,2.275,2.26214,0.3879,0.453518
4,2,2.21236,2.25834,0.379,0.448453
4,3,2.13234,2.24965,0.368035,0.442103
4,4,2.03239,2.24188,0.357124,0.433311
4,5,1.91986,2.22875,0.345315,0.422955
4,6,1.78625,2.20947,0.330492,0.409546
4,7,1.63283,2.19449,0.313438,0.393205
4,8,1.53831,2.18143,0.303151,0.381158
4,9,1.46676,2.1591,0.293264,0.372568
4,10,1.407,2.12198,0.283931,0.368493
4,11,1.34503,2.06662,0.271822,0.36398
4,12,1.29837,2.01739,0.261375,0.360563
4,13,1.24248,1.9569,0.249771,0.356583
4,14,1.1795,1.89105,0.236878,0.350878
4,15,1.11772,1.82674,0.224479,0.344681
4,16,1.05795,1.76829,0.213652,0.33802
4,17,0.997108,1.70053,0.201229,0.331145
5,0,2.31995,2.16289,0.396257,0.476694
5,1,2.25661,2.16175,0.38456,0.471542
5,2,2.18409,2.15054,0.371792,0.466945
5,3,2.1014,2.13228,0.358206,0.462023
5,4,2.00407,2.11068,0.34525,0.455173
5,5,1.8996,2.08657,0.331653,0.446859
5,6,1.77637,2.05911,0.315309,0.434957
5,7,1.63286,2.03484,0.295947,0.419829
5,8,1.54006,2.02168,0.284671,0.406989
5,9,1.46409,1.99712,0.273375,0.397226
5,10,1.40019,1.96292,0.261873,0.390272
5,11,1.33352,1.91098,0.249941,0.384031
5,12,1.28146,1.86778,0.240058,0.378543
5,13,1.22052,1.81939,0.229231,0.370994
5,14,1.15245,1.76079,0.217107,0.362718
5,15,1.0866,1.70323,0.205527,0.3543
5,16,1.0212,1.65049,0.19584,0.345243
5,17,0.95545,1.59518,0.185345,0.335355
6,0,2.29392,2.06039,0.393589,0.495609
6,1,2.23172,2.05751,0.381067,0.490287
6,2,2.15275,2.0426,0.365601,0.485438
6,3,2.06804,2.01787,0.34956,0.481444
6,4,1.97341,1.98656,0.334521,0.475951
6,5,1.87648,1.95094,0.319437,0.469988
6,6,1.76469,1.91812,0.302252,0.459564
6,7,1.63189,1.88776,0.281662,0.445825
6,8,1.54106,1.87114,0.268745,0.43273
6,9,1.45997,1.84551,0.255605,0.421165
6,10,1.39101,1.81357,0.242809,0.412188
6,11,1.32028,1.77174,0.231097,0.402619
6,12,1.26556,1.73505,0.221238,0.395111
6,13,1.20128,1.70071,0.212509,0.384338
6,14,1.12767,1.65286,0.201569,0.372628
6,15,1.05504,1.59984,0.191092,0.361655
6,16,0.980753,1.54308,0.180367,0.350449
6,17,0.910043,1.4938,0.170653,0.33818
7,0,2.25261,1.93854,0.387546,0.516636
7,1,2.19195,1.92751,0.37431,0.512635
7,2,2.1113,1.90614,0.356875,0.50838
7,3,2.02625,1.87659,0.339326,0.504532
7,4,1.93346,1.82955,0.320449,0.501501
7,5,1.84583,1.78048,0.303246,0.49864
7,6,1.74626,1.73984,0.285019,0.490007
7,7,1.62973,1.70116,0.26355,0.478419
7,8,1.54252,1.67917,0.248977,0.465661
7,9,1.45559,1.65337,0.234413,0.45186
7,10,1.37997,1.63061,0.220972,0.439268
7,11,1.30105,1.59236,0.208676,0.426421
7,12,1.24094,1.56496,0.199166,0.415755
7,13,1.17084,1.53349,0.190635,0.402485
7,14,1.08986,1.4885,0.180441,0.388121
7,15,1.00606,1.4393,0.169725,0.373163
7,16,0.928507,1.39446,0.159989,0.358774
7,17,0.859314,1.36973,0.153617,0.34328
8,0,2.21256,1.82688,0.384358,0.536307
8,1,2.14462,1.81524,0.368008,0.531212
8,2,2.06486,1.78809,0.349643,0.527808
8,3,1.98197,1.75257,0.33145,0.5249
8,4,1.89225,1.70914,0.312009,0.520987
8,5,1.81218,1.66675,0.294666,0.517561
8,6,1.72342,1.62954,0.27703,0.509344
8,7,1.61821,1.59017,0.255311,0.499008
8,8,1.53797,1.56199,0.240984,0.488147
8,9,1.45152,1.52716,0.225688,0.475666
8,10,1.37606,1.4992,0.21182,0.463877
8,11,1.28384,1.46252,0.197584,0.446515
8,12,1.2177,1.43542,0.187885,0.433675
8,13,1.13791,1.40142,0.177468,0.417473
8,14,1.04921,1.35412,0.166213,0.400542
8,15,0.959167,1.30812,0.15512,0.382485
8,16,0.879676,1.27483,0.146525,0.364803
8,17,0.811369,1.25493,0.140522,0.347972
9,0,2.14536,1.72391,0.373209,0.551177
9,1,2.08793,1.70161,0.359306,0.549052
9,2,2.01468,1.66988,0.34157,0.546987
9,3,1.9393,1.63094,0.323876,0.545432
9,4,1.85503,1.59121,0.304615,0.540754
9,5,1.77751,1.55133,0.286971,0.536189
9,6,1.69783,1.51866,0.269471,0.528461
9,7,1.60047,1.47299,0.248724,0.519604
9,8,1.52047,1.4316,0.232948,0.510836
9,9,1.43671,1.38281,0.216451,0.501143
9,10,1.36041,1.34304,0.201993,0.490954
