x,y,beta,gama,rx,ry
0,0,2.27661,2.59781,0.403764,0.388459
0,1,2.19867,2.56537,0.395328,0.388948
0,2,2.12057,2.56047,0.388698,0.383979
0,3,2.04765,2.5599,0.383777,0.378381
0,4,1.94229,2.5553,0.377488,0.37084
0,5,1.85199,2.56602,0.374006,0.361679
0,6,1.75161,2.53232,0.364082,0.35653
0,7,1.642,2.5271,0.357506,0.346951
0,8,1.56367,2.518,0.353223,0.340163
0,9,1.47723,2.52572,0.353578,0.332526
0,10,1.40272,2.55776,0.359097,0.324028
0,11,1.36928,2.4987,0.346202,0.321867
0,12,1.32156,2.44552,0.334973,0.318538
0,13,1.29238,2.37932,0.322294,0.319167
0,14,1.23697,2.29211,0.305301,0.317237
0,15,1.18497,2.20862,0.289127,0.314886
0,16,1.14113,2.14183,0.276616,0.312623
0,17,1.09744,2.03544,0.256519,0.313102
1,0,2.2683,2.49261,0.397907,0.407818
1,1,2.19782,2.4803,0.390107,0.404495
1,2,2.11973,2.47511,0.38212,0.398942
1,3,2.04157,2.4694,0.374438,0.392993
1,4,1.94071,2.46555,0.366864,0.384843
1,5,1.85077,2.45859,0.359615,0.377209
1,6,1.7557,2.44494,0.351687,0.369159
1,7,1.65117,2.43972,0.343904,0.358858
1,8,1.5741,2.43912,0.340737,0.350807
1,9,1.49454,2.44096,0.338851,0.342727
1,10,1.43583,2.44341,0.338055,0.336266
1,11,1.38553,2.4165,0.331732,0.331621
1,12,1.33377,2.36606,0.321214,0.328473
1,13,1.29533,2.30123,0.30853,0.327544
1,14,1.23665,2.21776,0.292221,0.324923
1,15,1.18187,2.13829,0.276959,0.321989
1,16,1.13355,2.07042,0.264142,0.318804
1,17,1.08009,1.97345,0.245674,0.316416
2,0,2.27851,2.38631,0.394237,0.428739
2,1,2.19885,2.38076,0.384246,0.42292
2,2,2.11519,2.3796,0.373893,0.41557
2,3,2.03169,2.37223,0.364047,0.408747
2,4,1.9355,2.36576,0.354533,0.400482
2,5,1.85238,2.35646,0.346069,0.39301
2,6,1.76531,2.35177,0.339117,0.383773
2,7,1.66429,2.34972,0.331084,0.372473
2,8,1.58765,2.34791,0.32643,0.363328
2,9,1.51275,2.34582,0.322814,0.354666
2,10,1.45757,2.34121,0.319896,0.347942
2,11,1.40008,2.31276,0.313422,0.343215
2,12,1.34042,2.26107,0.302732,0.339782
2,13,1.29614,2.20304,0.291276,0.33765
2,14,1.23308,2.12942,0.276678,0.333482
2,15,1.17485,2.05585,0.262562,0.329435
2,16,1.12134,1.99276,0.250785,0.324861
2,17,1.06122,1.90853,0.234869,0.319904
3,0,2.29144,2.2812,0.393161,0.450082
3,1,2.19496,2.28482,0.379344,0.440856
3,2,2.10715,2.28595,0.367203,0.432259
3,3,2.022,2.27934,0.355359,0.424439
3,4,1.93148,2.27471,0.344678,0.415528
3,5,1.85468,2.26787,0.335301,0.407486
3,6,1.77516,2.26632,0.328737,0.398023
3,7,1.6744,2.26503,0.318896,0.385376
3,8,1.59642,2.25996,0.312687,0.375467
3,9,1.52292,2.25253,0.30751,0.366648
3,10,1.46859,2.23391,0.302694,0.362005
3,11,1.40348,2.19508,0.293597,0.356532
3,12,1.33949,2.14032,0.281856,0.352444
3,13,1.29184,2.09003,0.271735,0.349187
3,14,1.22542,2.02469,0.25862,0.343682
3,15,1.16344,1.95669,0.245843,0.338614
3,16,1.10587,1.89989,0.235093,0.332455
3,17,1.04671,1.82103,0.220564,0.327505
4,0,2.24562,2.21746,0.384459,0.459329
4,1,2.17277,2.21174,0.372693,0.453361
4,2,2.09542,2.21425,0.360849,0.444956
4,3,2.01279,2.21033,0.348711,0.436295
4,4,1.92858,2.20682,0.337072,0.42721
4,5,1.85491,2.19715,0.327553,0.419561
4,6,1.77713,2.18945,0.319696,0.410777
4,7,1.67519,2.18045,0.308196,0.398723
4,8,1.59742,2.16817,0.300534,0.389434
4,9,1.5248,2.14628,0.292375,0.381951
4,10,1.46921,2.11574,0.284617,0.377665
4,11,1.39891,2.07252,0.274076,0.371056
4,12,1.33235,2.02232,0.262445,0.365272
4,13,1.28205,1.97443,0.25281,0.361362
4,14,1.2111,1.90826,0.239848,0.355204
4,15,1.14435,1.84326,0.227693,0.348687
4,16,1.07972,1.78796,0.217258,0.340644
4,17,1.01457,1.71648,0.203989,0.333409
5,0,2.22021,2.13357,0.379601,0.474394
5,1,2.1558,2.13572,0.367917,0.467414
5,2,2.08791,2.14101,0.357396,0.458777
5,3,2.00656,2.1399,0.34441,0.449189
5,4,1.92023,2.13761,0.331891,0.439015
5,5,1.84355,2.12339,0.319816,0.431312
5,6,1.76888,2.10308,0.310031,0.424569
5,7,1.66823,2.07927,0.295831,0.41452
5,8,1.59168,2.05689,0.286294,0.406372
5,9,1.51904,2.02771,0.276298,0.399135
5,10,1.46346,1.99705,0.267213,0.393751
5,11,1.38456,1.94515,0.255427,0.386003
5,12,1.31428,1.89111,0.243684,0.379934
5,13,1.25436,1.84285,0.233316,0.373403
5,14,1.17819,1.77581,0.219678,0.365541
5,15,1.1069,1.71083,0.208028,0.35777
5,16,1.03472,1.65615,0.197519,0.347417
5,17,0.963487,1.59736,0.186389,0.336944
6,0,2.20841,2.04704,0.378213,0.491496
6,1,2.14658,2.04941,0.366044,0.484276
6,2,2.08068,2.0579,0.354666,0.474784
6,3,1.99887,2.05631,0.340347,0.464781
6,4,1.91065,2.05097,0.326051,0.45445
6,5,1.82852,2.02856,0.312016,0.446963
6,6,1.75019,1.99882,0.298902,0.440841
6,7,1.6534,1.96532,0.282573,0.432356
6,8,1.58211,1.93587,0.272396,0.42576
6,9,1.51301,1.90717,0.262037,0.418294
6,10,1.45484,1.87781,0.253182,0.411953
6,11,1.37046,1.82218,0.239325,0.402479
6,12,1.29965,1.76904,0.227689,0.395596
6,13,1.23436,1.72631,0.217417,0.386463
6,14,1.15074,1.66468,0.20435,0.375507
6,15,1.07336,1.60224,0.192531,0.365215
6,16,0.994922,1.54942,0.182195,0.352563
6,17,0.919753,1.49432,0.171946,0.340384
7,0,2.2044,1.93892,0.378625,0.513438
7,1,2.13741,1.93997,0.364565,0.50523
7,2,2.06956,1.94183,0.350287,0.496736
7,3,1.98512,1.93318,0.333823,0.487235
7,4,1.89422,1.91258,0.316411,0.478524
7,5,1.80446,1.87843,0.298869,0.471427
7,6,1.72345,1.84155,0.283024,0.465537
7,7,1.63134,1.80256,0.265474,0.457988
7,8,1.56607,1.76369,0.254185,0.453302
7,9,1.49484,1.72109,0.242322,0.446704
7,10,1.43131,1.68469,0.231409,0.439429
7,11,1.33831,1.62757,0.216067,0.427073
7,12,1.26421,1.57353,0.204104,0.4185
7,13,1.18773,1.5257,0.192531,0.406841
7,14,1.09464,1.46867,0.178716,0.391708
7,15,1.01229,1.41325,0.16799,0.378375
7,16,0.930275,1.36604,0.158124,0.363283
7,17,0.861131,1.33123,0.150599,0.349551
8,0,2.18238,1.84248,0.378778,0.531276
8,1,2.1193,1.84374,0.364115,0.523148
8,2,2.04899,1.84549,0.347834,0.514152
8,3,1.96491,1.82988,0.330106,0.505811
8,4,1.87526,1.79998,0.311353,0.498985
8,5,1.78213,1.76167,0.292266,0.491556
8,6,1.69985,1.72381,0.275459,0.485165
8,7,1.60945,1.67902,0.256452,0.478809
8,8,1.54361,1.63398,0.244495,0.474413
8,9,1.47093,1.5791,0.230799,0.469336
8,10,1.40785,1.53885,0.219344,0.462412
8,11,1.3064,1.48061,0.202664,0.447075
8,12,1.22847,1.4273,0.189807,0.436541
8,13,1.14524,1.37888,0.177389,0.42234
8,14,1.04503,1.32518,0.163173,0.403563
8,15,0.956856,1.27237,0.151692,0.387127
8,16,0.870639,1.22636,0.141595,0.369666
8,17,0.802721,1.1986,0.134259,0.354223
9,0,2.16764,1.74557,0.380595,0.550106
