x,y,beta,gama,rx,ry
0,0,2.28868,2.67299,0.411809,0.376305
0,1,2.19131,2.67095,0.405948,0.371078
0,2,2.10526,2.69867,0.40355,0.361385
0,3,1.99932,2.69476,0.398971,0.355692
0,4,1.89971,2.66076,0.389984,0.353312
0,5,1.80047,2.63796,0.383155,0.349412
0,6,1.6991,2.62812,0.379006,0.343841
0,7,1.58517,2.65254,0.380288,0.333703
0,8,1.49868,2.6785,0.383817,0.325131
0,9,1.418,2.70794,0.388704,0.317737
0,10,1.40676,2.6326,0.373535,0.320843
0,11,1.38516,2.5304,0.353589,0.324741
0,12,1.34921,2.42351,0.332399,0.326913
0,13,1.30062,2.31349,0.310689,0.327333
0,14,1.24764,2.2078,0.29003,0.326823
0,15,1.19653,2.11508,0.272551,0.325861
0,16,1.13087,1.98141,0.247131,0.324694
0,17,1.08108,1.91737,0.235152,0.321675
1,0,2.26379,2.59063,0.405059,0.390125
1,1,2.18025,2.59784,0.399081,0.383312
1,2,2.09948,2.60432,0.393584,0.376559
1,3,1.99754,2.61101,0.389112,0.368617
1,4,1.89911,2.59121,0.380969,0.363601
1,5,1.80217,2.57032,0.373193,0.358692
1,6,1.70811,2.56335,0.368374,0.35214
1,7,1.60398,2.57968,0.367784,0.342656
1,8,1.52256,2.59665,0.369528,0.334932
1,9,1.4535,2.59862,0.368669,0.329464
1,10,1.42224,2.54706,0.358111,0.330037
1,11,1.39025,2.45029,0.339027,0.332332
1,12,1.34909,2.34554,0.318443,0.334157
1,13,1.29472,2.23813,0.297257,0.333775
1,14,1.23806,2.14069,0.278009,0.33179
1,15,1.18377,2.04906,0.26093,0.330416
1,16,1.11511,1.91839,0.236266,0.328684
1,17,1.06116,1.86129,0.225422,0.324038
2,0,2.25172,2.48842,0.397803,0.408292
2,1,2.16568,2.49169,0.38922,0.401109
2,2,2.08835,2.49066,0.380967,0.394919
2,3,1.98995,2.50069,0.376234,0.38592
2,4,1.89183,2.48716,0.367608,0.379151
2,5,1.80194,2.47301,0.359362,0.372687
2,6,1.71396,2.45972,0.353089,0.366463
2,7,1.62217,2.46093,0.348862,0.358066
2,8,1.55216,2.45732,0.346898,0.352779
2,9,1.48408,2.4363,0.341216,0.348492
2,10,1.44079,2.38962,0.331136,0.347379
2,11,1.39611,2.30872,0.314865,0.347288
2,12,1.34825,2.22284,0.297722,0.347059
2,13,1.28991,2.13349,0.279882,0.344823
2,14,1.22934,2.04997,0.262977,0.340932
2,15,1.16851,1.96568,0.247122,0.337399
2,16,1.09993,1.84985,0.225243,0.334252
2,17,1.04266,1.80154,0.216141,0.32769
3,0,2.2367,2.37745,0.390441,0.428435
3,1,2.15866,2.38303,0.381348,0.420634
3,2,2.08094,2.38658,0.372311,0.412786
3,3,1.9838,2.39628,0.364987,0.403006
3,4,1.88959,2.38584,0.355827,0.395371
3,5,1.80233,2.37206,0.346852,0.388335
3,6,1.71966,2.35326,0.338724,0.382324
3,7,1.63365,2.34156,0.331528,0.375092
3,8,1.56919,2.324,0.325857,0.370119
3,9,1.50282,2.29112,0.316981,0.36577
3,10,1.45156,2.24275,0.306537,0.364063
3,11,1.39615,2.17119,0.291227,0.361484
3,12,1.34243,2.09776,0.276695,0.359992
3,13,1.28035,2.02139,0.261553,0.356401
3,14,1.21113,1.94284,0.245821,0.35075
3,15,1.14441,1.86465,0.230799,0.345205
3,16,1.07727,1.76668,0.212253,0.340521
3,17,1.02135,1.72474,0.204183,0.333215
4,0,2.22496,2.25469,0.384092,0.451772
4,1,2.15351,2.26193,0.374358,0.443508
4,2,2.07351,2.26618,0.363676,0.434553
4,3,1.97711,2.27754,0.354555,0.42364
4,4,1.88535,2.26295,0.343226,0.415915
4,5,1.80044,2.24831,0.332886,0.408251
4,6,1.71942,2.22409,0.321814,0.401722
4,7,1.63638,2.20208,0.312027,0.395087
4,8,1.57562,2.17703,0.304407,0.390431
4,9,1.509,2.14013,0.294686,0.386085
4,10,1.45179,2.09076,0.283161,0.382976
4,11,1.38685,2.02868,0.269226,0.378028
