x,y,beta,gama,rx,ry
0,0,2.26865,2.60198,0.407445,0.389879
0,1,2.17821,2.58101,0.402227,0.388263
0,2,2.08116,2.58997,0.398425,0.380994
0,3,1.97081,2.626,0.396547,0.368215
0,4,1.89357,2.58012,0.386127,0.36791
0,5,1.78724,2.54251,0.37473,0.363656
0,6,1.66901,2.53134,0.367105,0.354684
0,7,1.52332,2.53246,0.361699,0.343245
0,8,1.51523,2.42975,0.341786,0.349575
0,9,1.47823,2.34732,0.324938,0.351218
0,10,1.41872,2.28018,0.310206,0.348549
0,11,1.38084,2.21894,0.297258,0.348047
0,12,1.33243,2.18144,0.289398,0.34385
0,13,1.31953,2.11043,0.276592,0.34952
0,14,1.30454,2.03343,0.262792,0.354506
0,15,1.35158,2.00986,0.261646,0.365572
0,16,1.40929,1.98939,0.263452,0.375008
0,17,1.46605,1.95954,0.265248,0.379273
1,0,2.27312,2.50628,0.402623,0.408266
1,1,2.19328,2.50899,0.399004,0.402706
1,2,2.10923,2.51549,0.394286,0.396167
1,3,2.0174,2.52518,0.390217,0.388199
1,4,1.92264,2.50265,0.381438,0.383562
1,5,1.81942,2.47145,0.370215,0.378438
1,6,1.71338,2.45494,0.361155,0.370374
1,7,1.60359,2.42521,0.349121,0.363752
1,8,1.56115,2.36268,0.335617,0.364094
1,9,1.52107,2.29538,0.320987,0.364562
1,10,1.46937,2.22836,0.30631,0.363472
1,11,1.42641,2.1813,0.295548,0.361121
1,12,1.38629,2.13952,0.286631,0.358982
1,13,1.35635,2.08249,0.275413,0.360626
1,14,1.34035,2.01425,0.26221,0.365452
1,15,1.36905,1.98361,0.259664,0.374983
1,16,1.41898,1.96154,0.26097,0.385741
1,17,1.47723,1.93459,0.264086,0.394163
2,0,2.2961,2.41695,0.401538,0.426965
2,1,2.21626,2.42245,0.397048,0.420585
2,2,2.14005,2.42343,0.391677,0.415209
2,3,2.0559,2.41861,0.385159,0.40975
2,4,1.9614,2.39827,0.375968,0.40485
2,5,1.86563,2.36855,0.364715,0.400098
2,6,1.77392,2.34714,0.354609,0.39334
2,7,1.67346,2.3099,0.340497,0.387968
2,8,1.62135,2.26275,0.328993,0.386324
2,9,1.5759,2.21268,0.317505,0.38543
2,10,1.52561,2.14826,0.303125,0.385257
2,11,1.48548,2.10754,0.292011,0.382752
2,12,1.44549,2.06563,0.284545,0.382028
2,13,1.41052,2.01194,0.274273,0.383436
2,14,1.39013,1.9483,0.260888,0.387785
2,15,1.40139,1.91413,0.256521,0.395053
2,16,1.43416,1.88403,0.25594,0.405188
2,17,1.47875,1.85462,0.258119,0.414652
3,0,2.31458,2.32406,0.400526,0.445933
3,1,2.2354,2.32781,0.394606,0.439661
3,2,2.16191,2.32234,0.387435,0.43535
3,3,2.08299,2.31064,0.379387,0.431248
3,4,1.99672,2.28946,0.369928,0.427183
