beta,gamma,rx,ry
0.401151,0.783254,0.086564,0.294512
1.175788,2.489800,0.343424,0.292318
0.875768,2.965048,0.449009,0.289563
1.140802,2.364663,0.318125,0.293493
1.180506,2.399882,0.324170,0.297287
0.059201,0.090153,0.053273,0.297708
0.391033,0.777297,0.086550,0.292315
0.171335,0.365662,0.062592,0.287822
1.199428,2.458141,0.335930,0.296454
0.950655,2.894795,0.434203,0.285378
1.228826,2.460260,0.335673,0.299717
1.126478,2.694769,0.387492,0.285457
1.075970,2.572336,0.363738,0.280610
0.926840,2.029165,0.258906,0.280085
0.200639,0.357875,0.059525,0.299584
1.319242,2.817262,0.408203,0.297915
1.159446,2.960005,0.441447,0.295586
0.355768,2.947347,0.464012,0.280160
0.814984,2.958343,0.449350,0.287454
1.098773,2.791870,0.408701,0.285775
0.075530,0.117575,0.053727,0.298481
0.625383,1.315295,0.146541,0.283610
1.281045,2.721623,0.388940,0.296442
0.770032,2.921796,0.444888,0.282656
1.012743,1.995595,0.248597,0.299124
1.116087,2.398745,0.326258,0.289164
1.119223,2.340432,0.313773,0.291944
1.197422,2.778866,0.402905,0.291170
0.809425,2.913895,0.442323,0.282889
0.708858,1.492223,0.170412,0.283857
0.794882,1.653664,0.194281,0.286497
1.256006,2.779991,0.402006,0.294576
0.268149,0.534875,0.070393,0.291848
0.998003,2.799281,0.413696,0.281104
1.267417,2.840885,0.414395,0.295452
0.355570,0.756009,0.086894,0.283967
0.894650,1.801749,0.216616,0.293648
1.078398,2.475909,0.343486,0.282016
1.236561,2.544082,0.352827,0.297075
1.335447,2.860276,0.417029,0.299136
0.957521,1.976448,0.246816,0.290047
0.537699,2.942668,0.456389,0.281392
1.087918,2.738332,0.398280,0.283518
0.606378,1.258772,0.138262,0.285722
0.925103,2.898226,0.435588,0.284764
0.461288,2.959382,0.461320,0.283299
1.134442,2.735279,0.395934,0.286639
1.218473,2.963675,0.441293,0.297206
1.156054,2.872626,0.423779,0.291632
1.083197,2.568262,0.362772,0.281340
0.722582,1.397206,0.153592,0.299549
0.883103,1.800536,0.216711,0.291368
0.999527,2.228473,0.295282,0.280297
1.271139,2.708591,0.386615,0.295839
1.188795,2.691325,0.384916,0.289650
0.217747,0.413769,0.062864,0.295783
1.222914,2.845458,0.416104,0.293657
0.647158,1.303357,0.142462,0.291371
1.045981,2.369047,0.322693,0.281432
0.546072,1.146670,0.125412,0.283865
0.167160,0.337434,0.060133,0.291345
0.294544,0.649297,0.079818,0.281331
1.289644,2.669230,0.377958,0.297976
0.767056,1.578472,0.182000,0.288094
1.059048,2.222648,0.291680,0.289824
0.793736,2.917051,0.443228,0.282816
0.357898,0.727075,0.083175,0.289733
0.922399,2.927090,0.440583,0.286810
0.701311,1.418256,0.158179,0.291284
0.817984,2.942549,0.446771,0.285923
1.229776,2.484302,0.340308,0.299198
0.049460,0.131708,0.056449,0.286511
1.325092,2.931092,0.432239,0.299466
0.885087,2.929253,0.442428,0.286129
1.006553,2.966598,0.445894,0.291988
0.304243,2.950740,0.466172,0.280649
1.175409,2.844629,0.417469,0.291389
0.965401,2.041211,0.259558,0.286444
1.039738,2.132021,0.274451,0.292724
1.197362,2.926710,0.434066,0.295142
0.523564,1.094172,0.118867,0.284578
1.295994,2.886118,0.423693,0.297486
1.156582,2.934183,0.435981,0.294054
0.960040,2.913543,0.437247,0.286889
0.799765,1.660828,0.195407,0.287024
1.177086,2.915717,0.431721,0.293753
1.248939,2.891946,0.425638,0.295557
0.903241,1.820405,0.219550,0.293550
1.236826,2.516941,0.347377,0.298214
0.900513,2.873164,0.431705,0.281534
1.086503,2.629145,0.375296,0.281514
0.983433,2.101772,0.270557,0.285247
0.708297,1.458452,0.164284,0.287792
0.494942,2.950485,0.459189,0.281994
0.804741,1.681263,0.198204,0.285984
0.557242,2.938499,0.455185,0.280979
1.346986,2.895120,0.424386,0.299546
1.070835,2.496142,0.348331,0.281065
1.279542,2.800061,0.405412,0.295801
1.310425,2.726182,0.389233,0.298356
0.862593,2.877720,0.433979,0.281004
1.103960,2.707134,0.390754,0.283825
0.711790,1.499437,0.171306,0.283611
0.729530,1.410357,0.155191,0.299780
1.001118,2.877955,0.429181,0.285426
0.287230,0.552558,0.070206,0.295551
0.993566,2.021983,0.254544,0.292945
0.781478,1.578941,0.181131,0.291814
0.213362,0.471598,0.068813,0.283805
1.319854,2.730712,0.390515,0.299293
0.086142,0.174292,0.055950,0.292261
0.303003,0.670922,0.081516,0.280686
1.265644,2.618853,0.367801,0.297258
0.675706,2.935897,0.450092,0.282189
0.020959,0.081222,0.056108,0.285486
1.081741,2.791798,0.409307,0.285045
0.158277,0.314317,0.059611,0.292611
1.267672,2.938890,0.434841,0.297722
0.805103,1.562541,0.177306,0.299792
0.617740,1.318135,0.147261,0.281148
0.081398,0.213095,0.058719,0.283253
0.367829,0.761010,0.086522,0.287350
0.635929,1.273554,0.138430,0.292234
1.199868,2.762993,0.399803,0.291115
0.207104,0.434400,0.065517,0.288298
1.182061,2.821760,0.412406,0.291336
1.326935,2.841902,0.413672,0.298625
1.092957,2.939878,0.438253,0.292456
1.263281,2.562919,0.355926,0.299159
1.045189,2.951341,0.442223,0.291816
0.769544,2.941056,0.448246,0.284807
1.315026,2.825299,0.409965,0.297640
1.071186,2.845739,0.420722,0.286677
1.234259,2.930412,0.433703,0.296094
0.370242,0.695147,0.079644,0.299343
1.098998,2.319251,0.310147,0.290039
1.165439,2.389843,0.322559,0.295636
1.056264,2.452092,0.339359,0.280015
0.013726,0.013564,0.053095,0.295291
1.085760,2.214755,0.289531,0.294292
1.091606,2.768014,0.404097,0.284788
