beta,gama,rx,ry
2.005618,2.017808,0.329653,0.476830
1.611767,0.315411,0.395961,0.732476
1.828851,2.641425,0.376246,0.346386
1.920594,1.021018,0.384257,0.670963
0.660597,0.110273,0.084618,0.523506
1.209146,0.928300,0.156195,0.540231
1.857251,1.517269,0.302947,0.563925
1.884524,2.184720,0.320482,0.425882
1.437769,2.349004,0.313692,0.335853
1.424756,1.690791,0.218829,0.435964
2.360836,2.637670,0.408012,0.386131
2.334902,2.895969,0.432578,0.340665
1.806953,2.792773,0.402715,0.328214
1.059728,1.284702,0.144297,0.417555
1.018310,1.949701,0.239701,0.304523
1.607007,2.793351,0.401020,0.316079
1.756154,1.230302,0.294098,0.608841
1.637452,1.569574,0.247409,0.509804
0.894717,1.564333,0.174813,0.322602
1.094280,1.439791,0.162338,0.397926
1.317567,1.759924,0.215505,0.397248
2.040364,1.320680,0.381350,0.629123
2.057870,2.235783,0.347031,0.438008
1.774771,2.082816,0.298604,0.428869
0.340588,0.245373,0.049399,0.373159
1.012125,1.540084,0.171138,0.357538
1.627138,0.632188,0.333111,0.697829
0.771010,1.444921,0.159372,0.306289
1.271227,1.563942,0.190146,0.422451
1.477133,0.180631,0.363791,0.730608
1.137125,1.019436,0.141210,0.497598
1.324686,0.653935,0.210602,0.632195
0.800178,0.079124,0.120033,0.579837
1.868847,2.039485,0.307935,0.452443
0.286320,0.298041,0.051111,0.342275
0.540449,1.045743,0.111051,0.297210
1.483302,0.662582,0.267844,0.667597
2.266892,2.104031,0.380014,0.487473
0.646533,0.111162,0.082126,0.518124
2.063227,1.640569,0.353071,0.566536
1.821868,1.102069,0.332514,0.645235
1.396461,0.132500,0.337218,0.724522
1.003482,0.269081,0.154072,0.612220
0.186726,0.288247,0.055134,0.307432
2.036970,1.282736,0.386068,0.635526
1.176092,0.700631,0.159440,0.580000
2.054539,1.225341,0.401594,0.647328
1.485355,1.785965,0.234969,0.430914
1.098505,1.144035,0.138510,0.458474
1.581059,1.045568,0.253852,0.613658
1.689826,2.839323,0.410579,0.317873
0.783494,0.176498,0.104587,0.555743
0.988429,0.976082,0.117091,0.458663
1.479453,1.567269,0.218031,0.474609
1.945269,1.139672,0.373714,0.653114
0.999520,0.482550,0.129478,0.569108
2.015035,1.360893,0.367399,0.618866
1.050953,1.962253,0.241508,0.310165
1.254407,1.132429,0.163709,0.508620
1.288566,0.892977,0.177397,0.571960
2.382726,2.717042,0.416116,0.373039
1.298796,1.648499,0.201313,0.413388
2.188651,1.256821,0.447002,0.648275
2.082317,1.380247,0.388294,0.621387
1.970208,1.598749,0.329382,0.563394
2.081950,1.689173,0.354658,0.558231
0.834331,1.597122,0.182102,0.303070
1.075424,0.029615,0.219949,0.671964
1.166364,0.676366,0.159434,0.582016
2.043494,2.616309,0.382852,0.367580
1.803851,0.680653,0.401706,0.710037
1.291939,1.949934,0.241271,0.360942
1.251761,1.247283,0.165984,0.482674
0.975180,0.092589,0.171737,0.634595
0.766606,1.526043,0.172666,0.294666
1.566193,1.614905,0.235145,0.484637
2.579410,2.905362,0.442070,0.346846
1.328636,1.164076,0.179161,0.523102
1.495883,2.289673,0.304556,0.351365
1.101199,1.412365,0.160023,0.405062
1.007519,0.547723,0.126842,0.557980
1.189819,0.340075,0.206999,0.654346
1.583829,2.328437,0.314373,0.358952
2.136199,2.845423,0.419508,0.340187
0.691184,1.069402,0.108105,0.341423
1.239182,1.076366,0.160629,0.516487
0.415436,0.078606,0.052718,0.435824
1.272159,2.269311,0.297555,0.319064
1.404639,1.961257,0.248554,0.382113
2.164444,1.997065,0.360872,0.500494
2.062182,2.706842,0.396611,0.355508
0.370190,0.396397,0.054413,0.354363
1.952131,2.292777,0.338570,0.414253
2.229567,2.934585,0.435000,0.331935
0.202526,0.323306,0.056599,0.306733
1.532756,2.417926,0.328626,0.341104
2.287603,2.450354,0.388858,0.417349
1.933383,1.222747,0.356707,0.636751
1.311701,0.486953,0.229711,0.660284
2.517601,2.652760,0.422197,0.391582
1.438205,0.774593,0.235229,0.637003
0.747288,0.220192,0.092816,0.533569
1.979175,2.883340,0.422312,0.328364
1.628618,2.472594,0.340552,0.346436
1.697171,0.611760,0.368775,0.709246
1.405021,0.070554,0.355554,0.730601
1.614036,0.816465,0.295099,0.665426
1.141148,0.443775,0.175483,0.621667
2.200243,2.292669,0.370101,0.441697
1.932871,2.784747,0.403982,0.336688
0.927580,0.327895,0.125568,0.576248
1.666813,2.681223,0.379389,0.328487
0.972783,1.303818,0.140482,0.387600
1.344714,1.692600,0.210662,0.416433
0.759350,1.546631,0.176896,0.290186
2.078379,2.706363,0.397115,0.356384
1.587161,0.374639,0.370017,0.724732
1.630912,1.501799,0.245959,0.523422
0.870352,0.473665,0.100590,0.525784
1.387370,0.595196,0.241385,0.658835
1.797130,0.645210,0.406981,0.713529
2.536074,2.632934,0.423034,0.396476
2.612496,2.134465,0.449850,0.500624
1.386921,2.741848,0.391534,0.303611
0.647839,0.211997,0.074753,0.498310
0.615809,0.899759,0.090757,0.346908
2.119021,2.230308,0.355602,0.446078
2.493092,2.836252,0.432640,0.356422
2.116478,1.644032,0.368104,0.571584
1.922740,2.369493,0.343734,0.396633
2.341012,2.832879,0.425258,0.350953
0.727264,0.555311,0.077019,0.455996
2.481686,2.243426,0.416548,0.473120
1.792641,2.496201,0.351418,0.362089
1.398320,2.765878,0.396419,0.303556
0.589490,0.439055,0.062671,0.428474
2.057747,1.911998,0.339502,0.506551
1.695761,1.564401,0.260368,0.523537
1.146735,1.780307,0.209857,0.354172
1.923715,1.477865,0.324903,0.583185
1.435513,0.889983,0.221375,0.612347
1.768845,1.441839,0.282353,0.565075
1.383614,2.828924,0.409680,0.301496
